interaction_id,source,target,ligand_complex,receptor_complex,n_child,n_adult,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,r_squared,condition_number,interaction_p_value,fdr_q_value
NK Cells|pDCs|LGALS1|ITGB1,NK Cells,pDCs,LGALS1,ITGB1,20,7,-0.0066950743521821295,-0.04659445218573856,0.033204303481374306,27,0.07200966746835769,43.22407408701167,0.7422464444923405,0.9958775166604763
NK Cells|pDCs|LGALS1|PTPRC,NK Cells,pDCs,LGALS1,PTPRC,20,7,0.004566737542783655,-0.032196013703466045,0.04132948878903335,27,0.2656988297037869,43.22407408701167,0.8076410261784974,0.9958775166604763
NK Cells|pDCs|LTB|TNFRSF1A,NK Cells,pDCs,LTB,TNFRSF1A,16,5,0.015305914871878339,-0.039207329646368076,0.06981915939012476,21,0.08173872865448584,41.67278662551824,0.5821085489805677,0.9958775166604763
NK Cells|pDCs|MFNG|NOTCH2,NK Cells,pDCs,MFNG,NOTCH2,18,5,0.0047877635279216625,-0.019343391512756044,0.028918918568599367,23,0.01620697000857385,37.71116702157013,0.6973734859194154,0.9958775166604763
NK Cells|pDCs|MIF|CD44_CD74,NK Cells,pDCs,MIF,CD44_CD74,20,7,-0.015363173053557187,-0.06314064150640203,0.03241429539928766,27,0.062346948372290045,43.22407408701167,0.5285376522968389,0.9958775166604763
B Cells|B Cells|S100A8|CD69,B Cells,B Cells,S100A8,CD69,30,6,0.002518936165162869,-0.026114795666049583,0.03115266799637532,36,0.05430984394592775,47.247211036797175,0.8631074564081482,0.9958775166604763
CD8 T Cells|pDCs|HLA-B|CD3D,CD8 T Cells,pDCs,HLA-B,CD3D,16,5,-0.005955386041327358,-0.03934415954825715,0.027433387465602435,21,0.14253903566167325,50.696350029133164,0.7266472974730236,0.9958775166604763
CD8 T Cells|pDCs|HLA-B|LILRB1,CD8 T Cells,pDCs,HLA-B,LILRB1,19,7,0.0048416326228417975,-0.022758411848355472,0.03244167709403907,26,0.1196976879607391,42.19138857694571,0.7309822502926531,0.9958775166604763
CD8 T Cells|pDCs|HLA-C|LILRB1,CD8 T Cells,pDCs,HLA-C,LILRB1,19,7,-0.0025413493774273906,-0.04335241747679869,0.0382697187219439,26,0.03503516959862363,42.19138857694571,0.902860149792784,0.9958775166604763
CD8 T Cells|pDCs|HLA-DMA|CD4,CD8 T Cells,pDCs,HLA-DMA,CD4,15,7,0.004566353421969901,-0.02659465858780632,0.03572736543174612,22,0.017220372260547623,35.21527826039156,0.7739482376764415,0.9958775166604763
CD8 T Cells|pDCs|HLA-DRA|CD4,CD8 T Cells,pDCs,HLA-DRA,CD4,19,7,0.0028303400728664457,-0.017981447349330142,0.023642127495063035,26,0.13561037844086732,42.19138857694571,0.7898162984950825,0.9958775166604763
NK Cells|pDCs|S100A8|ITGB2,NK Cells,pDCs,S100A8,ITGB2,19,6,-0.010729145162755107,-0.06163993567065161,0.04018164534514139,25,0.14671329569636027,44.76602422809304,0.6795694619171812,0.9958775166604763
NK Cells|pDCs|S100A9|CD68,NK Cells,pDCs,S100A9,CD68,20,5,-0.0009410431565038973,-0.03895907534499544,0.037076989031987646,25,0.2329047664889392,50.588540461198,0.9613065258374318,0.9958775166604763
NK Cells|pDCs|S100A9|ITGB2,NK Cells,pDCs,S100A9,ITGB2,20,5,0.0014505672089643283,-0.02870970758664061,0.03161084200456926,25,0.1616988852817921,50.588540461198,0.9248986208715229,0.9958775166604763
NK Cells|pDCs|SELPLG|ITGB2,NK Cells,pDCs,SELPLG,ITGB2,20,7,0.0033911876841059693,-0.024524077123443875,0.03130645249165581,27,0.006581416653997474,43.22407408701167,0.811804057763387,0.9958775166604763
