interaction_id,source,target,ligand_complex,receptor_complex,n_patients,spearman_rho,spearman_ci95_low,spearman_ci95_high,p_value,fdr_q_value
Non-classical Monocytes|cDCs|CCL4|CCR1,Non-classical Monocytes,cDCs,CCL4,CCR1,16,0.05073996003090662,-0.45645383686520674,0.5330454253050837,0.8519623581693354,0.9612610469209104
Non-classical Monocytes|NK Cells|HLA-C|KIR2DL2,Non-classical Monocytes,NK Cells,HLA-C,KIR2DL2,19,-0.04589903154065163,-0.4899019422978557,0.4170112919086603,0.8519865910957747,0.9612610469209104
cDCs|CD4 T Cells|RETN|CAP1,cDCs,CD4 T Cells,RETN,CAP1,28,0.03695300804809593,-0.3408289746718668,0.4044600311910211,0.8519072823866474,0.9612610469209104
B Cells|pDCs|HMGB1|THBD,B Cells,pDCs,HMGB1,THBD,10,0.06791288043619165,-0.5868139738583447,0.6689431896833496,0.8521238597754573,0.9613326675748752
IFN-stimulated T Cells|B Cells|ADAM10|CD44,IFN-stimulated T Cells,B Cells,ADAM10,CD44,9,0.07272727272727274,-0.621417333213487,0.7029065601618046,0.8524927047147082,0.9614990006945907
cDCs|Non-classical Monocytes|PSEN1|NOTCH2,cDCs,Non-classical Monocytes,PSEN1,NOTCH2,30,-0.03547547089599243,-0.39075649198179613,0.3290047716060757,0.8523592407578479,0.9614990006945907
pDCs|pDCs|ADAM10|NOTCH2,pDCs,pDCs,ADAM10,NOTCH2,11,0.06368207918726286,-0.5574985372569687,0.639148611945996,0.8524341391844621,0.9614990006945907
cDCs|pDCs|TGFB1|ITGB1,cDCs,pDCs,TGFB1,ITGB1,20,-0.04432952833021741,-0.47749038274515987,0.40616605772404557,0.8527795124398803,0.9617392216124273
CD8 T Cells|CD8 T Cells|HLA-B|CD8B,CD8 T Cells,CD8 T Cells,HLA-B,CD8B,31,0.034719082972144905,-0.3236082013674831,0.38433682361855254,0.8529000192800513,0.9617918680152782
pDCs|CD8 T Cells|TIMP2|ITGB1,pDCs,CD8 T Cells,TIMP2,ITGB1,8,0.07798128673650546,-0.6631406092465432,0.7418938233094993,0.8543767691361168,0.9619215232009419
cDCs|Plasma Cells|VCAN|ITGA4,cDCs,Plasma Cells,VCAN,ITGA4,15,0.05192118232681619,-0.4729281260918949,0.5495742878252583,0.8541962267370382,0.9619215232009419
pDCs|cDCs|ICAM1|IL2RG,pDCs,cDCs,ICAM1,IL2RG,14,-0.054238153764668236,-0.5684660978567719,0.4904637538779689,0.8538929612706603,0.9619215232009419
pDCs|CD4 T Cells|VCAN|ITGB1,pDCs,CD4 T Cells,VCAN,ITGB1,8,-0.07831325301204818,-0.7420439530706043,0.6629534427328897,0.8537619116040958,0.9619215232009419
Classical Monocytes|Classical Monocytes|ADAM17|ITGB1,Classical Monocytes,Classical Monocytes,ADAM17,ITGB1,31,0.03458266540195281,-0.323730474393069,0.38422041106405014,0.8534717906157685,0.9619215232009419
pDCs|NK Cells|LGALS3BP|ITGB1,pDCs,NK Cells,LGALS3BP,ITGB1,11,0.06283787178796812,-0.5580824227981085,0.6386469945567462,0.8543722384359804,0.9619215232009419
IFN-stimulated T Cells|pDCs|HLA-F|LILRB2,IFN-stimulated T Cells,pDCs,HLA-F,LILRB2,9,-0.07203648512563053,-0.7025550630910381,0.621843415970295,0.8538816058071196,0.9619215232009419
