interaction_id,source,target,ligand_complex,receptor_complex,n_patients,spearman_rho,spearman_ci95_low,spearman_ci95_high,p_value,fdr_q_value
B Cells|Non-classical Monocytes|FAM3C|LAMP1,B Cells,Non-classical Monocytes,FAM3C,LAMP1,7,0.8151238417997327,0.16070606506243507,0.9717120835956394,0.025481771465468355,0.6028169555548537
B Cells|Non-classical Monocytes|GNAI2|C5AR1,B Cells,Non-classical Monocytes,GNAI2,C5AR1,7,-0.8468812149338255,-0.9769134003812925,-0.2589847298219967,0.01619712746787163,0.6028169555548537
B Cells|Non-classical Monocytes|GNAS|ADCY7,B Cells,Non-classical Monocytes,GNAS,ADCY7,7,0.8288624656799143,0.20168747528590764,0.9739810351092203,0.021173515581004283,0.6028169555548537
Non-classical Monocytes|CD8 T Cells|RETN|CAP1,Non-classical Monocytes,CD8 T Cells,RETN,CAP1,5,0.8999999999999998,0.08607666220616547,0.9934378491141874,0.03738607346849874,0.6028169555548537
Classical Monocytes|Non-classical Monocytes|ARF6|SMAP1,Classical Monocytes,Non-classical Monocytes,ARF6,SMAP1,7,0.8829187134416479,0.3875000022962168,0.982634733999806,0.008450342381896615,0.6028169555548537
pDCs|NK Cells|HLA-C|CD8B,pDCs,NK Cells,HLA-C,CD8B,7,0.8108437164260032,0.14838365380415272,0.9709992600551484,0.026916328843161995,0.6028169555548537
pDCs|NK Cells|HLA-DPA1|LAG3,pDCs,NK Cells,HLA-DPA1,LAG3,5,0.8999999999999998,0.08607666220616547,0.9934378491141874,0.03738607346849874,0.6028169555548537
pDCs|NK Cells|HLA-DPB1|LAG3,pDCs,NK Cells,HLA-DPB1,LAG3,5,0.8999999999999998,0.08607666220616547,0.9934378491141874,0.03738607346849874,0.6028169555548537
pDCs|NK Cells|HLA-DQA1|LAG3,pDCs,NK Cells,HLA-DQA1,LAG3,5,-0.8999999999999998,-0.9934378491141874,-0.08607666220616547,0.03738607346849874,0.6028169555548537
Non-classical Monocytes|B Cells|LGALS9|CD47,Non-classical Monocytes,B Cells,LGALS9,CD47,7,0.7748062179181807,0.05219514224523714,0.9648823997180725,0.040769462520420366,0.6028169555548537
CD8 T Cells|Classical Monocytes|CCL5|CCR1,CD8 T Cells,Classical Monocytes,CCL5,CCR1,7,0.8829187134416479,0.3875000022962168,0.982634733999806,0.008450342381896615,0.6028169555548537
pDCs|pDCs|HLA-DPA1|CD4,pDCs,pDCs,HLA-DPA1,CD4,7,-0.8108437164260032,-0.9709992600551484,-0.14838365380415272,0.026916328843161995,0.6028169555548537
