original_label,restore,ribosomal_percent_retained_genes,pct_counts_mt,n_genes_by_counts,doublet_score
B Cells,False,44.12100615225615,3.244115460376158,896.0,0.0128726287262872
CD4 T Cells,False,43.8287153652393,2.3950553695596186,1092.0,0.0656063618290258
CD8 T Cells,False,36.70588235294117,2.895238095238095,1030.0,0.0502525923956394
Classical Monocytes,False,22.47086891049645,4.519123731054284,1093.0,0.0290893760539629
NK Cells,False,28.362931647293223,2.919254658385093,1013.0,0.0309278350515463
Non-classical Monocytes,False,23.581002813172265,3.330007483162883,1710.0,0.0333196215549156
Plasma Cells,False,26.868081911024095,3.439340734906866,2441.0,0.0970220941402497
Platelets,False,4.754716981132075,2.235469448584203,837.0,0.0798409299479963
RBCs,False,0.8786381109280615,0.0727272727272727,254.0,0.0173193946013418
Ribosomal/Low-quality,False,47.742939737602846,2.0594059405940595,873.0,0.0634264884568651
Ribosomal/Low-quality,True,48.165804990524556,2.0729477819030055,1008.0,0.0633451957295373
pDCs,False,35.4199066874028,2.247191011235955,1706.0,0.0776778413736712
