interaction_id,source,target,ligand_complex,receptor_complex,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,interaction_p_value,fdr_q_value,n_cHD,mean_cHD,n_cSLE,mean_cSLE,n_aHD,mean_aHD,n_aSLE,mean_aSLE
CD8 T Cells|Non-classical Monocytes|ITGAL_ITGB2|ICAM1,CD8 T Cells,Non-classical Monocytes,ITGAL_ITGB2,ICAM1,0.1127826429618797,-0.0813973252885501,0.3069626112123095,47,0.2549632903580903,0.6200113176953492,9,0.0024289512562453274,26,0.08823190194216066,5,0.10968185580952325,7,0.08270216353355887
B Cells|pDCs|ALOX5|ALOX5AP,B Cells,pDCs,ALOX5,ALOX5AP,-0.15468763137684494,-0.42040438306499867,0.1110291203113088,40,0.25387090545261315,0.6200113176953492,10,0.4722241504915335,18,0.43096508616292933,5,0.3590289719572417,7,0.4724575390054825
pDCs|Non-classical Monocytes|TNFSF13B|TFRC,pDCs,Non-classical Monocytes,TNFSF13B,TFRC,0.19132604383656296,-0.13941324292717264,0.5220653306002986,37,0.2568785120395044,0.6200113176953492,8,0.01637413677190594,17,0.14852002688623187,5,0.18281573248825445,7,0.12363557876601741
Non-classical Monocytes|CD8 T Cells|COPA|CD74,Non-classical Monocytes,CD8 T Cells,COPA,CD74,-0.1274827135139825,-0.3473620693540108,0.0923966423260458,56,0.25580702830014124,0.6200113176953492,11,0.3402788594712266,33,0.38543334098874676,5,0.32462390230708243,7,0.4972610973385851
Non-classical Monocytes|Classical Monocytes|GRN|TNFRSF1B,Non-classical Monocytes,Classical Monocytes,GRN,TNFRSF1B,0.07843280461201674,-0.05769172302059769,0.21455733224463117,56,0.25877116711451353,0.6217533472298945,11,0.5901048756424757,33,0.7443409182882026,5,0.6579611570312528,7,0.7337643950649629
pDCs|Non-classical Monocytes|TNFSF13B|HLA-DPB1,pDCs,Non-classical Monocytes,TNFSF13B,HLA-DPB1,-0.09739066561819931,-0.26712840706044116,0.07234707582404254,43,0.2607707299050953,0.6228830332211166,10,0.7428503661493163,21,0.7209556521655959,5,0.7955662702435651,7,0.8710622218780439
Non-classical Monocytes|CD8 T Cells|MIF|TNFRSF14,Non-classical Monocytes,CD8 T Cells,MIF,TNFRSF14,0.14599192841603922,-0.10888685557981856,0.400870712411897,56,0.261587413198322,0.6228830332211166,11,0.28192508634340807,33,0.268347461256194,5,0.33351860368973235,7,0.17394905018647908
CD4 T Cells|B Cells|MIF|CD74,CD4 T Cells,B Cells,MIF,CD74,0.0012967677749008422,-0.0009762747907008629,0.0035698103405025472,56,0.2635000059271577,0.6246361747648248,11,0.999428358390833,33,0.9997159487205705,5,0.9991432629189386,7,0.9981340854737752
Classical Monocytes|CD8 T Cells|LGALS9|CD47,Classical Monocytes,CD8 T Cells,LGALS9,CD47,-0.11801939736024225,-0.32781916241558307,0.09178036769509859,56,0.27022462738984954,0.6264686784919403,11,0.3611431034973513,33,0.21424092473416365,5,0.32752670597243927,7,0.2986439245694939
CD8 T Cells|pDCs|SELL|SELPLG,CD8 T Cells,pDCs,SELL,SELPLG,-0.11445515530377501,-0.31882822193852,0.08991791133096999,44,0.2723618699996859,0.6264686784919403,10,0.2562758592177373,22,0.20830789465036473,5,0.19660256148453806,7,0.2630897522209405
