sample,cluster,original_label,sensitivity_label,restore,n_cells
GSM4029940_JB19001,0,Ribosomal/Low-quality,CD4 T Cells,True,1135
GSM4029940_JB19001,0,Ribosomal/Low-quality,CD8 T Cells,True,222
GSM4029940_JB19001,0,Ribosomal/Low-quality,Ribosomal/Low-quality,False,585
GSM4029940_JB19001,1,Classical Monocytes,Classical Monocytes,False,492
GSM4029940_JB19001,10,pDCs,pDCs,False,37
GSM4029940_JB19001,11,Platelets,Platelets,False,27
GSM4029940_JB19001,12,Plasma Cells,Plasma Cells,False,22
GSM4029940_JB19001,13,CD8 T Cells,CD8 T Cells,False,13
GSM4029940_JB19001,14,Classical Monocytes,Classical Monocytes,False,1
GSM4029940_JB19001,2,CD4 T Cells,CD4 T Cells,False,1065
GSM4029940_JB19001,3,NK Cells,NK Cells,False,1029
GSM4029940_JB19001,4,Ribosomal/Low-quality,CD4 T Cells,True,458
GSM4029940_JB19001,4,Ribosomal/Low-quality,CD8 T Cells,True,2
GSM4029940_JB19001,4,Ribosomal/Low-quality,Ribosomal/Low-quality,False,261
GSM4029940_JB19001,5,Non-classical Monocytes,Non-classical Monocytes,False,327
GSM4029940_JB19001,6,NK Cells,NK Cells,False,347
GSM4029940_JB19001,7,CD8 T Cells,CD8 T Cells,False,599
GSM4029940_JB19001,8,B Cells,B Cells,False,346
GSM4029940_JB19001,9,RBCs,RBCs,False,7
GSM4029942_JB19003,0,Ribosomal/Low-quality,CD4 T Cells,True,418
GSM4029942_JB19003,0,Ribosomal/Low-quality,CD8 T Cells,True,284
GSM4029942_JB19003,0,Ribosomal/Low-quality,Ribosomal/Low-quality,False,269
GSM4029942_JB19003,1,Classical Monocytes,Classical Monocytes,False,1897
GSM4029942_JB19003,10,pDCs,pDCs,False,47
GSM4029942_JB19003,11,Platelets,Platelets,False,21
GSM4029942_JB19003,12,Plasma Cells,Plasma Cells,False,2
GSM4029942_JB19003,13,CD8 T Cells,CD8 T Cells,False,4
GSM4029942_JB19003,2,CD4 T Cells,CD4 T Cells,False,890
GSM4029942_JB19003,3,NK Cells,NK Cells,False,770
GSM4029942_JB19003,4,Ribosomal/Low-quality,CD4 T Cells,True,243
GSM4029942_JB19003,4,Ribosomal/Low-quality,Ribosomal/Low-quality,False,213
GSM4029942_JB19003,5,Non-classical Monocytes,Non-classical Monocytes,False,541
GSM4029942_JB19003,6,NK Cells,NK Cells,False,470
GSM4029942_JB19003,7,CD8 T Cells,CD8 T Cells,False,490
GSM4029942_JB19003,8,B Cells,B Cells,False,405
GSM4029942_JB19003,9,RBCs,RBCs,False,2
GSM4029943_JB19004,0,Ribosomal/Low-quality,CD4 T Cells,True,183
GSM4029943_JB19004,0,Ribosomal/Low-quality,CD8 T Cells,True,262
GSM4029943_JB19004,0,Ribosomal/Low-quality,Ribosomal/Low-quality,False,129
GSM4029943_JB19004,1,Classical Monocytes,Classical Monocytes,False,521
GSM4029943_JB19004,10,pDCs,pDCs,False,18
GSM4029943_JB19004,11,Platelets,Platelets,False,28
GSM4029943_JB19004,12,Plasma Cells,Plasma Cells,False,18
GSM4029943_JB19004,13,CD8 T Cells,CD8 T Cells,False,28
GSM4029943_JB19004,14,Classical Monocytes,Classical Monocytes,False,6
GSM4029943_JB19004,2,CD4 T Cells,CD4 T Cells,False,259
GSM4029943_JB19004,3,NK Cells,NK Cells,False,1207
