interaction_id,source,target,ligand_complex,receptor_complex,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,interaction_p_value,fdr_q_value,n_cHD,mean_cHD,n_cSLE,mean_cSLE,n_aHD,mean_aHD,n_aSLE,mean_aSLE
Classical Monocytes|pDCs|LGALS9|SLC1A5,Classical Monocytes,pDCs,LGALS9,SLC1A5,-0.1418051303049364,-0.3892133161676681,0.10560305555779523,39,0.26127692888910836,0.6041248737884441,10,0.17919394522824672,18,0.2795107089354901,5,0.0322161487632779,6,0.2743380427754577
B Cells|Non-classical Monocytes|LTB|LTBR,B Cells,Non-classical Monocytes,LTB,LTBR,-0.10630908775702202,-0.29280682063826186,0.0801886451242178,56,0.2638934269214681,0.6041248737884441,11,0.3898135779207703,33,0.3915751814749213,5,0.32306979066592323,7,0.43114048197709626
CD4 T Cells|CD8 T Cells|SIRPG|CD47,CD4 T Cells,CD8 T Cells,SIRPG,CD47,-0.10060180300620204,-0.2779118164740431,0.07670821046163902,54,0.2661207503517887,0.6041248737884441,11,0.025633243802299234,31,0.047258631066778224,5,0.00011155458318219402,7,0.12233874485386323
pDCs|Classical Monocytes|LGALS9|CD44,pDCs,Classical Monocytes,LGALS9,CD44,-0.1448218914811797,-0.4004078562641855,0.11076407330182614,43,0.2667541784856322,0.6041248737884441,10,0.42709267016844554,21,0.5318650391633709,5,0.39241399902524426,7,0.6420082595013493
Non-classical Monocytes|B Cells|COPA|CD74,Non-classical Monocytes,B Cells,COPA,CD74,-0.03423813102397055,-0.0948496280016715,0.026373365953730396,56,0.2682327551834309,0.6041248737884441,11,0.8579752515595296,33,0.871838111643945,5,0.8658113979453722,7,0.9139123890537582
CD4 T Cells|Non-classical Monocytes|SEMA4D|PLXNB2,CD4 T Cells,Non-classical Monocytes,SEMA4D,PLXNB2,0.041810191623614004,-0.03178694677796892,0.11540733002519693,55,0.2655167507966718,0.6041248737884441,11,0.0,32,0.008775843379524428,5,0.03303434824408957,7,0.0
Non-classical Monocytes|Classical Monocytes|GRN|TNFRSF1A,Non-classical Monocytes,Classical Monocytes,GRN,TNFRSF1A,-0.10996128381343279,-0.30112312968242133,0.08120056205555576,56,0.25956391304380866,0.6041248737884441,11,0.33461870617681627,33,0.4412445658064864,5,0.372119030356592,7,0.5887061737996949
Non-classical Monocytes|Classical Monocytes|GRN|TNFRSF1B,Non-classical Monocytes,Classical Monocytes,GRN,TNFRSF1B,0.07094435530089249,-0.05100173595703035,0.19289044655881532,56,0.2541843795753942,0.6041248737884441,11,0.6166749968427075,33,0.75781829377056,5,0.6847802201265286,7,0.7549791617534886
NK Cells|Non-classical Monocytes|KLRF1|CLEC2B,NK Cells,Non-classical Monocytes,KLRF1,CLEC2B,-0.15054829738643993,-0.41823167002042966,0.11713507524754979,55,0.2703282509170081,0.6041248737884441,11,0.7820218761146229,33,0.6289852269838064,5,0.39883255542249507,6,0.39634420367811846
Classical Monocytes|Non-classical Monocytes|TNFSF13B|TFRC,Classical Monocytes,Non-classical Monocytes,TNFSF13B,TFRC,-0.15375466749709948,-0.42348614662987377,0.1159768116356748,44,0.26389360309201804,0.6041248737884441,9,0.4849106308253016,23,0.38642572867713576,5,0.3384766338982015,7,0.3937463992471351
pDCs|Non-classical Monocytes|LGALS9|CD44,pDCs,Non-classical Monocytes,LGALS9,CD44,-0.12155336243015524,-0.3371988007902832,0.09409207592997273,43,0.2692560438499131,0.6041248737884441,10,0.3828089805895551,21,0.451502431136387,5,0.3274849076679181,7,0.5177317206449052
