target,tested,fdr05,fraction_fdr05
B Cells,203,8,0.03940886699507389
CD4 T Cells,290,16,0.05517241379310345
CD8 T Cells,367,11,0.02997275204359673
Classical Monocytes,460,12,0.02608695652173913
NK Cells,323,11,0.034055727554179564
Non-classical Monocytes,559,54,0.09660107334525939
pDCs,325,11,0.033846153846153845
