target,tested,fdr05,fraction_fdr05
B Cells,55,4,0.07272727272727272
CD4 T Cells,58,2,0.034482758620689655
CD8 T Cells,59,4,0.06779661016949153
Classical Monocytes,103,6,0.05825242718446602
NK Cells,72,3,0.041666666666666664
Non-classical Monocytes,126,15,0.11904761904761904
pDCs,58,2,0.034482758620689655
