target,tested,fdr05,fraction_fdr05
B Cells,54,4.0,0.07407407407407407
CD4 T Cells,52,0.0,0.0
CD8 T Cells,55,3.0,0.05454545454545454
Classical Monocytes,101,4.0,0.039603960396039604
NK Cells,71,2.0,0.028169014084507043
Non-classical Monocytes,125,15.0,0.12
pDCs,56,1.0,0.017857142857142856
