sample,cell_type,n_cells
GSM4029910_JB17021,NK Cells,494
GSM4029910_JB17021,Non-classical Monocytes,398
GSM4029910_JB17021,Plasma Cells,8
GSM4029910_JB17021,cDCs,67
GSM4029910_JB17021,pDCs,19
GSM4029911_JB17022,B Cells,489
GSM4029911_JB17022,CD4 T Cells,2597
GSM4029911_JB17022,CD8 T Cells,1742
GSM4029911_JB17022,Classical Monocytes,311
GSM4029911_JB17022,IFN-stimulated T Cells,11
GSM4029911_JB17022,NK Cells,274
GSM4029911_JB17022,Non-classical Monocytes,64
GSM4029911_JB17022,Plasma Cells,3
GSM4029911_JB17022,cDCs,19
GSM4029911_JB17022,pDCs,11
GSM4029912_JB17023,B Cells,586
GSM4029912_JB17023,CD4 T Cells,2526
GSM4029912_JB17023,CD8 T Cells,1177
GSM4029912_JB17023,Classical Monocytes,299
GSM4029912_JB17023,IFN-stimulated T Cells,70
GSM4029912_JB17023,NK Cells,152
GSM4029912_JB17023,Non-classical Monocytes,152
GSM4029912_JB17023,Plasma Cells,3
GSM4029912_JB17023,cDCs,20
GSM4029912_JB17023,pDCs,9
GSM4029913_JB17024,B Cells,1014
GSM4029913_JB17024,CD4 T Cells,1448
GSM4029913_JB17024,CD8 T Cells,1510
GSM4029913_JB17024,Classical Monocytes,960
GSM4029913_JB17024,IFN-stimulated T Cells,36
GSM4029913_JB17024,NK Cells,257
GSM4029913_JB17024,Non-classical Monocytes,313
GSM4029913_JB17024,Plasma Cells,4
GSM4029913_JB17024,cDCs,39
GSM4029913_JB17024,pDCs,11
GSM4029914_JB17017,B Cells,1204
GSM4029914_JB17017,CD4 T Cells,2740
GSM4029914_JB17017,CD8 T Cells,1998
GSM4029914_JB17017,Classical Monocytes,373
GSM4029914_JB17017,IFN-stimulated T Cells,16
GSM4029914_JB17017,NK Cells,309
GSM4029914_JB17017,Non-classical Monocytes,180
GSM4029914_JB17017,Plasma Cells,44
GSM4029914_JB17017,cDCs,88
GSM4029914_JB17017,pDCs,29
GSM4029915_JB17018,B Cells,743
GSM4029915_JB17018,CD4 T Cells,2845
GSM4029915_JB17018,CD8 T Cells,1616
GSM4029915_JB17018,Classical Monocytes,692
GSM4029915_JB17018,IFN-stimulated T Cells,6
GSM4029915_JB17018,NK Cells,938
GSM4029915_JB17018,Non-classical Monocytes,158
GSM4029915_JB17018,Plasma Cells,8
GSM4029915_JB17018,cDCs,85
GSM4029915_JB17018,pDCs,43
GSM4029916_JB18063,B Cells,758
GSM4029916_JB18063,CD4 T Cells,490
GSM4029916_JB18063,CD8 T Cells,312
GSM4029916_JB18063,Classical Monocytes,644
GSM4029916_JB18063,IFN-stimulated T Cells,23
GSM4029916_JB18063,NK Cells,163
GSM4029916_JB18063,Non-classical Monocytes,220
GSM4029916_JB18063,Plasma Cells,178
GSM4029916_JB18063,cDCs,31
GSM4029916_JB18063,pDCs,6
GSM4029917_JB18064,B Cells,322
GSM4029917_JB18064,CD4 T Cells,2135
GSM4029917_JB18064,CD8 T Cells,1424
GSM4029917_JB18064,Classical Monocytes,719
GSM4029917_JB18064,IFN-stimulated T Cells,92
GSM4029917_JB18064,NK Cells,291
GSM4029917_JB18064,Non-classical Monocytes,434
GSM4029917_JB18064,Plasma Cells,133
GSM4029917_JB18064,cDCs,45
GSM4029917_JB18064,pDCs,15
GSM4029918_JB18065,B Cells,249
GSM4029918_JB18065,CD4 T Cells,2033
GSM4029918_JB18065,CD8 T Cells,938
GSM4029918_JB18065,Classical Monocytes,453
GSM4029918_JB18065,IFN-stimulated T Cells,1
GSM4029918_JB18065,NK Cells,300
GSM4029918_JB18065,Non-classical Monocytes,148
GSM4029918_JB18065,Plasma Cells,20
GSM4029918_JB18065,cDCs,49
GSM4029918_JB18065,pDCs,6
GSM4029919_JB18066,B Cells,398
GSM4029919_JB18066,CD4 T Cells,585
GSM4029919_JB18066,CD8 T Cells,599
GSM4029919_JB18066,Classical Monocytes,443
GSM4029919_JB18066,IFN-stimulated T Cells,33
GSM4029919_JB18066,NK Cells,148
GSM4029919_JB18066,Non-classical Monocytes,132
GSM4029919_JB18066,Plasma Cells,14
GSM4029919_JB18066,cDCs,9
GSM4029919_JB18066,pDCs,1
GSM4029920_JB18067,B Cells,325
GSM4029920_JB18067,CD4 T Cells,1679
GSM4029920_JB18067,CD8 T Cells,579
GSM4029920_JB18067,Classical Monocytes,709
GSM4029920_JB18067,IFN-stimulated T Cells,26
GSM4029920_JB18067,NK Cells,162
GSM4029920_JB18067,Non-classical Monocytes,152
GSM4029920_JB18067,Plasma Cells,2
GSM4029920_JB18067,cDCs,37
GSM4029920_JB18067,pDCs,16
GSM4029921_JB18068,B Cells,408
GSM4029921_JB18068,CD4 T Cells,745
GSM4029921_JB18068,CD8 T Cells,844
GSM4029921_JB18068,Classical Monocytes,514
GSM4029921_JB18068,IFN-stimulated T Cells,29
GSM4029921_JB18068,NK Cells,184
GSM4029921_JB18068,Non-classical Monocytes,229
GSM4029921_JB18068,Plasma Cells,84
GSM4029921_JB18068,cDCs,21
GSM4029921_JB18068,pDCs,8
GSM4029922_JB18069,B Cells,453
GSM4029922_JB18069,CD4 T Cells,2055
GSM4029922_JB18069,CD8 T Cells,953
GSM4029922_JB18069,Classical Monocytes,526
GSM4029922_JB18069,IFN-stimulated T Cells,16
GSM4029922_JB18069,NK Cells,662
GSM4029922_JB18069,Non-classical Monocytes,228
GSM4029922_JB18069,Plasma Cells,6
GSM4029922_JB18069,cDCs,41
GSM4029922_JB18069,pDCs,10
GSM4029923_JB18070,B Cells,477
GSM4029923_JB18070,CD4 T Cells,1042
GSM4029923_JB18070,CD8 T Cells,1332
GSM4029923_JB18070,Classical Monocytes,594
GSM4029923_JB18070,IFN-stimulated T Cells,7
GSM4029923_JB18070,NK Cells,673
GSM4029923_JB18070,Non-classical Monocytes,243
GSM4029923_JB18070,Plasma Cells,12
GSM4029923_JB18070,cDCs,49
GSM4029923_JB18070,pDCs,24
GSM4029924_JB18071,B Cells,1055
GSM4029924_JB18071,CD4 T Cells,1206
GSM4029924_JB18071,CD8 T Cells,1274
GSM4029924_JB18071,Classical Monocytes,476
GSM4029924_JB18071,IFN-stimulated T Cells,44
GSM4029924_JB18071,NK Cells,475
GSM4029924_JB18071,Non-classical Monocytes,240
GSM4029924_JB18071,Plasma Cells,42
GSM4029924_JB18071,cDCs,14
GSM4029924_JB18071,pDCs,5
GSM4029925_JB18072,B Cells,614
GSM4029925_JB18072,CD4 T Cells,940
GSM4029925_JB18072,CD8 T Cells,697
GSM4029925_JB18072,Classical Monocytes,1293
GSM4029925_JB18072,IFN-stimulated T Cells,24
GSM4029925_JB18072,NK Cells,158
GSM4029925_JB18072,Non-classical Monocytes,393
GSM4029925_JB18072,Plasma Cells,19
GSM4029925_JB18072,cDCs,72
GSM4029925_JB18072,pDCs,12
GSM4029926_JB18073,B Cells,842
GSM4029926_JB18073,CD4 T Cells,1518
GSM4029926_JB18073,CD8 T Cells,1097
GSM4029926_JB18073,Classical Monocytes,784
GSM4029926_JB18073,IFN-stimulated T Cells,65
GSM4029926_JB18073,NK Cells,241
GSM4029926_JB18073,Non-classical Monocytes,435
GSM4029926_JB18073,Plasma Cells,46
GSM4029926_JB18073,cDCs,30
GSM4029926_JB18073,pDCs,13
GSM4029927_JB18074,B Cells,697
GSM4029927_JB18074,CD4 T Cells,1643
GSM4029927_JB18074,CD8 T Cells,977
GSM4029927_JB18074,Classical Monocytes,1086
GSM4029927_JB18074,IFN-stimulated T Cells,53
GSM4029927_JB18074,NK Cells,289
GSM4029927_JB18074,Non-classical Monocytes,298
GSM4029927_JB18074,Plasma Cells,171
GSM4029927_JB18074,cDCs,41
GSM4029927_JB18074,pDCs,18
GSM4029928_JB18075,B Cells,159
GSM4029928_JB18075,CD4 T Cells,558
GSM4029928_JB18075,CD8 T Cells,739
GSM4029928_JB18075,Classical Monocytes,1579
GSM4029928_JB18075,IFN-stimulated T Cells,14
GSM4029928_JB18075,NK Cells,230
GSM4029928_JB18075,Non-classical Monocytes,548
GSM4029928_JB18075,Plasma Cells,5
GSM4029928_JB18075,cDCs,59
GSM4029928_JB18075,pDCs,13
GSM4029929_JB18076,B Cells,150
GSM4029929_JB18076,CD4 T Cells,1250
GSM4029929_JB18076,CD8 T Cells,2448
GSM4029929_JB18076,Classical Monocytes,389
GSM4029929_JB18076,IFN-stimulated T Cells,14
GSM4029929_JB18076,NK Cells,298
GSM4029929_JB18076,Non-classical Monocytes,114
GSM4029929_JB18076,Plasma Cells,15
GSM4029929_JB18076,cDCs,32
GSM4029929_JB18076,pDCs,20
GSM4029930_JB18077,B Cells,943
GSM4029930_JB18077,CD4 T Cells,3020
GSM4029930_JB18077,CD8 T Cells,1804
GSM4029930_JB18077,Classical Monocytes,249
GSM4029930_JB18077,IFN-stimulated T Cells,6
GSM4029930_JB18077,NK Cells,238
GSM4029930_JB18077,Non-classical Monocytes,118
GSM4029930_JB18077,Plasma Cells,26
GSM4029930_JB18077,cDCs,41
GSM4029930_JB18077,pDCs,15
GSM4029931_JB18078,B Cells,806
GSM4029931_JB18078,CD4 T Cells,2137
GSM4029931_JB18078,CD8 T Cells,1845
GSM4029931_JB18078,Classical Monocytes,298
GSM4029931_JB18078,IFN-stimulated T Cells,15
GSM4029931_JB18078,NK Cells,427
GSM4029931_JB18078,Non-classical Monocytes,213
GSM4029931_JB18078,Plasma Cells,17
GSM4029931_JB18078,cDCs,69
GSM4029931_JB18078,pDCs,35
GSM4029932_JB18079,B Cells,607
GSM4029932_JB18079,CD4 T Cells,2703
GSM4029932_JB18079,CD8 T Cells,1328
GSM4029932_JB18079,Classical Monocytes,536
GSM4029932_JB18079,IFN-stimulated T Cells,1
GSM4029932_JB18079,NK Cells,526
GSM4029932_JB18079,Non-classical Monocytes,306
GSM4029932_JB18079,Plasma Cells,24
GSM4029932_JB18079,cDCs,60
GSM4029932_JB18079,pDCs,14
GSM4029933_JB18080,B Cells,246
GSM4029933_JB18080,CD4 T Cells,1645
GSM4029933_JB18080,CD8 T Cells,883
GSM4029933_JB18080,Classical Monocytes,454
GSM4029933_JB18080,IFN-stimulated T Cells,75
GSM4029933_JB18080,NK Cells,248
GSM4029933_JB18080,Non-classical Monocytes,120
GSM4029933_JB18080,Plasma Cells,9
GSM4029933_JB18080,cDCs,19
GSM4029933_JB18080,pDCs,10
GSM4029934_JB18081,B Cells,834
GSM4029934_JB18081,CD4 T Cells,1195
GSM4029934_JB18081,CD8 T Cells,1936
GSM4029934_JB18081,Classical Monocytes,640
GSM4029934_JB18081,IFN-stimulated T Cells,3
GSM4029934_JB18081,NK Cells,462
GSM4029934_JB18081,Non-classical Monocytes,414
GSM4029934_JB18081,Plasma Cells,7
GSM4029934_JB18081,cDCs,30
GSM4029934_JB18081,pDCs,36
GSM4029935_JB18082,B Cells,1006
GSM4029935_JB18082,CD4 T Cells,1796
GSM4029935_JB18082,CD8 T Cells,2416
GSM4029935_JB18082,Classical Monocytes,528
GSM4029935_JB18082,IFN-stimulated T Cells,31
GSM4029935_JB18082,NK Cells,350
GSM4029935_JB18082,Non-classical Monocytes,201
GSM4029935_JB18082,Plasma Cells,13
GSM4029935_JB18082,cDCs,50
GSM4029935_JB18082,pDCs,30
GSM4029936_JB18085,B Cells,1034
GSM4029936_JB18085,CD4 T Cells,2308
GSM4029936_JB18085,CD8 T Cells,1203
GSM4029936_JB18085,Classical Monocytes,260
GSM4029936_JB18085,IFN-stimulated T Cells,9
GSM4029936_JB18085,NK Cells,279
GSM4029936_JB18085,Non-classical Monocytes,118
GSM4029936_JB18085,Plasma Cells,21
GSM4029936_JB18085,cDCs,17
GSM4029936_JB18085,pDCs,8
GSM4029937_JB18086,B Cells,743
GSM4029937_JB18086,CD4 T Cells,2166
GSM4029937_JB18086,CD8 T Cells,1088
GSM4029937_JB18086,Classical Monocytes,673
GSM4029937_JB18086,IFN-stimulated T Cells,6
GSM4029937_JB18086,NK Cells,523
GSM4029937_JB18086,Non-classical Monocytes,208
GSM4029937_JB18086,Plasma Cells,20
GSM4029937_JB18086,cDCs,56
GSM4029937_JB18086,pDCs,24
GSM4029938_JB18083,B Cells,735
GSM4029938_JB18083,CD4 T Cells,1971
GSM4029938_JB18083,CD8 T Cells,1652
GSM4029938_JB18083,Classical Monocytes,341
GSM4029938_JB18083,IFN-stimulated T Cells,13
GSM4029938_JB18083,NK Cells,1168
GSM4029938_JB18083,Non-classical Monocytes,144
GSM4029938_JB18083,Plasma Cells,34
GSM4029938_JB18083,cDCs,66
GSM4029938_JB18083,pDCs,59
GSM4029939_JB18084,B Cells,863
GSM4029939_JB18084,CD4 T Cells,2074
GSM4029939_JB18084,CD8 T Cells,1181
GSM4029939_JB18084,Classical Monocytes,751
GSM4029939_JB18084,IFN-stimulated T Cells,17
GSM4029939_JB18084,NK Cells,690
GSM4029939_JB18084,Non-classical Monocytes,224
GSM4029939_JB18084,Plasma Cells,20
GSM4029939_JB18084,cDCs,69
GSM4029939_JB18084,pDCs,21
