sample,cluster,assigned_cell_type,excluded,n_cells
GSM4029904_JB17015,5,CD8 T Cells,False,707
GSM4029904_JB17015,6,NK Cells,False,464
GSM4029904_JB17015,7,Non-classical Monocytes,False,979
GSM4029904_JB17015,8,cDCs,False,65
GSM4029904_JB17015,9,RBCs,True,24
GSM4029905_JB17016,0,Ribosomal/Low-quality,True,876
GSM4029905_JB17016,1,Ribosomal/Low-quality,True,662
GSM4029905_JB17016,10,Platelets,True,96
GSM4029905_JB17016,11,Plasma Cells,False,120
GSM4029905_JB17016,12,IFN-stimulated T Cells,False,12
GSM4029905_JB17016,13,pDCs,False,20
GSM4029905_JB17016,2,Classical Monocytes,False,2724
GSM4029905_JB17016,3,B Cells,False,1626
GSM4029905_JB17016,4,CD4 T Cells,False,366
GSM4029905_JB17016,5,CD8 T Cells,False,782
GSM4029905_JB17016,6,NK Cells,False,882
GSM4029905_JB17016,7,Non-classical Monocytes,False,1291
GSM4029905_JB17016,8,cDCs,False,48
GSM4029905_JB17016,9,RBCs,True,139
GSM4029906_JB17014,0,Ribosomal/Low-quality,True,3888
GSM4029906_JB17014,1,Ribosomal/Low-quality,True,2890
GSM4029906_JB17014,10,Platelets,True,131
GSM4029906_JB17014,11,Plasma Cells,False,12
GSM4029906_JB17014,12,IFN-stimulated T Cells,False,85
GSM4029906_JB17014,13,pDCs,False,25
GSM4029906_JB17014,2,Classical Monocytes,False,1961
GSM4029906_JB17014,3,B Cells,False,727
GSM4029906_JB17014,4,CD4 T Cells,False,1326
GSM4029906_JB17014,5,CD8 T Cells,False,915
GSM4029906_JB17014,6,NK Cells,False,743
GSM4029906_JB17014,7,Non-classical Monocytes,False,679
GSM4029906_JB17014,8,cDCs,False,117
GSM4029906_JB17014,9,RBCs,True,59
GSM4029907_JB17010,0,Ribosomal/Low-quality,True,2263
GSM4029907_JB17010,1,Ribosomal/Low-quality,True,2298
GSM4029907_JB17010,10,Platelets,True,68
GSM4029907_JB17010,11,Plasma Cells,False,24
GSM4029907_JB17010,12,IFN-stimulated T Cells,False,8
GSM4029907_JB17010,13,pDCs,False,54
GSM4029907_JB17010,2,Classical Monocytes,False,1364
GSM4029907_JB17010,3,B Cells,False,1754
GSM4029907_JB17010,4,CD4 T Cells,False,913
GSM4029907_JB17010,5,CD8 T Cells,False,2068
GSM4029907_JB17010,6,NK Cells,False,916
GSM4029907_JB17010,7,Non-classical Monocytes,False,445
GSM4029907_JB17010,8,cDCs,False,137
GSM4029908_JB17019,0,Ribosomal/Low-quality,True,1291
GSM4029908_JB17019,1,Ribosomal/Low-quality,True,782
GSM4029908_JB17019,10,Platelets,True,97
GSM4029908_JB17019,11,Plasma Cells,False,7
GSM4029908_JB17019,12,IFN-stimulated T Cells,False,2
GSM4029908_JB17019,13,pDCs,False,17
GSM4029908_JB17019,2,Classical Monocytes,False,1314
GSM4029908_JB17019,3,B Cells,False,108
GSM4029908_JB17019,4,CD4 T Cells,False,602
GSM4029908_JB17019,5,CD8 T Cells,False,237
GSM4029908_JB17019,6,NK Cells,False,92
GSM4029908_JB17019,7,Non-classical Monocytes,False,206
GSM4029908_JB17019,8,cDCs,False,24
GSM4029908_JB17019,9,RBCs,True,486
GSM4029909_JB17020,0,Ribosomal/Low-quality,True,936
GSM4029909_JB17020,1,Ribosomal/Low-quality,True,979
GSM4029909_JB17020,10,Platelets,True,23
GSM4029909_JB17020,11,Plasma Cells,False,146
GSM4029909_JB17020,13,pDCs,False,14
GSM4029909_JB17020,2,Classical Monocytes,False,822
GSM4029909_JB17020,3,B Cells,False,560
GSM4029909_JB17020,4,CD4 T Cells,False,553
GSM4029909_JB17020,5,CD8 T Cells,False,598
GSM4029909_JB17020,6,NK Cells,False,213
GSM4029909_JB17020,7,Non-classical Monocytes,False,263
GSM4029909_JB17020,8,cDCs,False,52
GSM4029909_JB17020,9,RBCs,True,2
GSM4029910_JB17021,0,Ribosomal/Low-quality,True,246
