sample,cluster,assigned_cell_type,excluded,n_cells
GSM4029933_JB18080,5,CD8 T Cells,False,233
GSM4029933_JB18080,6,NK Cells,False,248
GSM4029933_JB18080,7,Non-classical Monocytes,False,120
GSM4029933_JB18080,8,cDCs,False,19
GSM4029933_JB18080,9,RBCs,True,17
GSM4029934_JB18081,0,Ribosomal/Low-quality,True,664
GSM4029934_JB18081,1,Ribosomal/Low-quality,True,920
GSM4029934_JB18081,10,Platelets,True,15
GSM4029934_JB18081,11,Plasma Cells,False,7
GSM4029934_JB18081,12,IFN-stimulated T Cells,False,3
GSM4029934_JB18081,13,pDCs,False,36
GSM4029934_JB18081,2,Classical Monocytes,False,640
GSM4029934_JB18081,3,B Cells,False,834
GSM4029934_JB18081,4,CD4 T Cells,False,813
GSM4029934_JB18081,5,CD8 T Cells,False,1626
GSM4029934_JB18081,6,NK Cells,False,462
GSM4029934_JB18081,7,Non-classical Monocytes,False,414
GSM4029934_JB18081,8,cDCs,False,30
GSM4029934_JB18081,9,RBCs,True,30
GSM4029935_JB18082,0,Ribosomal/Low-quality,True,1578
GSM4029935_JB18082,1,Ribosomal/Low-quality,True,1485
GSM4029935_JB18082,10,Platelets,True,15
GSM4029935_JB18082,11,Plasma Cells,False,13
GSM4029935_JB18082,12,IFN-stimulated T Cells,False,31
GSM4029935_JB18082,13,pDCs,False,30
GSM4029935_JB18082,2,Classical Monocytes,False,528
GSM4029935_JB18082,3,B Cells,False,1006
GSM4029935_JB18082,4,CD4 T Cells,False,933
GSM4029935_JB18082,5,CD8 T Cells,False,1197
GSM4029935_JB18082,6,NK Cells,False,350
GSM4029935_JB18082,7,Non-classical Monocytes,False,201
GSM4029935_JB18082,8,cDCs,False,50
GSM4029935_JB18082,9,RBCs,True,5
GSM4029936_JB18085,0,Ribosomal/Low-quality,True,1781
GSM4029936_JB18085,1,Ribosomal/Low-quality,True,1403
GSM4029936_JB18085,10,Platelets,True,13
GSM4029936_JB18085,11,Plasma Cells,False,21
GSM4029936_JB18085,12,IFN-stimulated T Cells,False,9
GSM4029936_JB18085,13,pDCs,False,8
GSM4029936_JB18085,2,Classical Monocytes,False,260
GSM4029936_JB18085,3,B Cells,False,1034
GSM4029936_JB18085,4,CD4 T Cells,False,1004
GSM4029936_JB18085,5,CD8 T Cells,False,200
GSM4029936_JB18085,6,NK Cells,False,279
GSM4029936_JB18085,7,Non-classical Monocytes,False,118
GSM4029936_JB18085,8,cDCs,False,17
GSM4029936_JB18085,9,RBCs,True,3
GSM4029937_JB18086,0,Ribosomal/Low-quality,True,1826
GSM4029937_JB18086,1,Ribosomal/Low-quality,True,1392
GSM4029937_JB18086,10,Platelets,True,20
GSM4029937_JB18086,11,Plasma Cells,False,20
GSM4029937_JB18086,12,IFN-stimulated T Cells,False,6
GSM4029937_JB18086,13,pDCs,False,24
GSM4029937_JB18086,2,Classical Monocytes,False,673
GSM4029937_JB18086,3,B Cells,False,743
GSM4029937_JB18086,4,CD4 T Cells,False,705
GSM4029937_JB18086,5,CD8 T Cells,False,303
GSM4029937_JB18086,6,NK Cells,False,523
GSM4029937_JB18086,7,Non-classical Monocytes,False,208
GSM4029937_JB18086,8,cDCs,False,56
GSM4029937_JB18086,9,RBCs,True,6
GSM4029938_JB18083,0,Ribosomal/Low-quality,True,1679
GSM4029938_JB18083,1,Ribosomal/Low-quality,True,1309
GSM4029938_JB18083,10,Platelets,True,34
GSM4029938_JB18083,11,Plasma Cells,False,34
GSM4029938_JB18083,12,IFN-stimulated T Cells,False,13
GSM4029938_JB18083,13,pDCs,False,59
GSM4029938_JB18083,2,Classical Monocytes,False,341
GSM4029938_JB18083,3,B Cells,False,735
GSM4029938_JB18083,4,CD4 T Cells,False,785
GSM4029938_JB18083,5,CD8 T Cells,False,733
GSM4029938_JB18083,6,NK Cells,False,1168
GSM4029938_JB18083,7,Non-classical Monocytes,False,144
GSM4029938_JB18083,8,cDCs,False,66
GSM4029938_JB18083,9,RBCs,True,8
GSM4029939_JB18084,0,Ribosomal/Low-quality,True,1565
GSM4029939_JB18084,1,Ribosomal/Low-quality,True,1656
GSM4029939_JB18084,10,Platelets,True,23
GSM4029939_JB18084,11,Plasma Cells,False,20
GSM4029939_JB18084,12,IFN-stimulated T Cells,False,17
GSM4029939_JB18084,13,pDCs,False,21
GSM4029939_JB18084,2,Classical Monocytes,False,751
GSM4029939_JB18084,3,B Cells,False,863
GSM4029939_JB18084,4,CD4 T Cells,False,847
GSM4029939_JB18084,5,CD8 T Cells,False,373
GSM4029939_JB18084,6,NK Cells,False,690
GSM4029939_JB18084,7,Non-classical Monocytes,False,224
GSM4029939_JB18084,8,cDCs,False,69
GSM4029939_JB18084,9,RBCs,True,8
