sample,cell_type,n_cells,proportion_within_sample
GSM4029906_JB17014,CD8 T Cells,915,0.13884673748103188
GSM4029906_JB17014,Classical Monocytes,1961,0.29757207890743553
GSM4029906_JB17014,IFN-stimulated T Cells,85,0.012898330804248861
GSM4029906_JB17014,NK Cells,743,0.11274658573596358
GSM4029906_JB17014,Non-classical Monocytes,679,0.10303490136570562
GSM4029906_JB17014,Plasma Cells,12,0.0018209408194233688
GSM4029906_JB17014,cDCs,117,0.017754172989377846
GSM4029906_JB17014,pDCs,25,0.0037936267071320183
GSM4029907_JB17010,B Cells,1754,0.2282962384485227
GSM4029907_JB17010,CD4 T Cells,913,0.1188337888845503
GSM4029907_JB17010,CD8 T Cells,2068,0.26916569048548744
GSM4029907_JB17010,Classical Monocytes,1364,0.17753481712872576
GSM4029907_JB17010,IFN-stimulated T Cells,8,0.0010412599245086555
GSM4029907_JB17010,NK Cells,916,0.11922426135624105
GSM4029907_JB17010,Non-classical Monocytes,445,0.05792008330079396
GSM4029907_JB17010,Plasma Cells,24,0.0031237797735259665
GSM4029907_JB17010,cDCs,137,0.017831576207210726
GSM4029907_JB17010,pDCs,54,0.007028504490433424
GSM4029908_JB17019,B Cells,108,0.041395170563434266
GSM4029908_JB17019,CD4 T Cells,602,0.23073974702951322
GSM4029908_JB17019,CD8 T Cells,237,0.09083940206975853
GSM4029908_JB17019,Classical Monocytes,1314,0.5036412418551169
GSM4029908_JB17019,IFN-stimulated T Cells,2,0.0007665772326561902
GSM4029908_JB17019,NK Cells,92,0.03526255270218474
GSM4029908_JB17019,Non-classical Monocytes,206,0.07895745496358758
GSM4029908_JB17019,Plasma Cells,7,0.0026830203142966655
GSM4029908_JB17019,cDCs,24,0.009198926791874281
GSM4029908_JB17019,pDCs,17,0.006515906477577616
GSM4029909_JB17020,B Cells,560,0.17385904998447688
GSM4029909_JB17020,CD4 T Cells,553,0.1716858118596709
GSM4029909_JB17020,CD8 T Cells,598,0.18565662837628066
GSM4029909_JB17020,Classical Monocytes,822,0.2552002483700714
GSM4029909_JB17020,NK Cells,213,0.0661285315119528
GSM4029909_JB17020,Non-classical Monocytes,263,0.08165166097485253
GSM4029909_JB17020,Plasma Cells,146,0.04532753803166718
GSM4029909_JB17020,cDCs,52,0.01614405464141571
GSM4029909_JB17020,pDCs,14,0.004346476249611922
GSM4029910_JB17021,B Cells,26,0.007034632034632035
GSM4029910_JB17021,CD4 T Cells,510,0.137987012987013
GSM4029910_JB17021,CD8 T Cells,774,0.20941558441558442
GSM4029910_JB17021,Classical Monocytes,1362,0.3685064935064935
GSM4029910_JB17021,IFN-stimulated T Cells,38,0.010281385281385282
GSM4029910_JB17021,NK Cells,494,0.13365800865800867
GSM4029910_JB17021,Non-classical Monocytes,398,0.10768398268398269
GSM4029910_JB17021,Plasma Cells,8,0.0021645021645021645
GSM4029910_JB17021,cDCs,67,0.018127705627705628
GSM4029910_JB17021,pDCs,19,0.005140692640692641
GSM4029911_JB17022,B Cells,489,0.20057424118129613
GSM4029911_JB17022,CD4 T Cells,471,0.19319114027891715
GSM4029911_JB17022,CD8 T Cells,785,0.32198523379819527
GSM4029911_JB17022,Classical Monocytes,311,0.12756357670221494
GSM4029911_JB17022,IFN-stimulated T Cells,11,0.004511894995898278
GSM4029911_JB17022,NK Cells,274,0.11238720262510254
GSM4029911_JB17022,Non-classical Monocytes,64,0.026251025430680888
GSM4029911_JB17022,Plasma Cells,3,0.0012305168170631665
GSM4029911_JB17022,cDCs,19,0.007793273174733388
GSM4029911_JB17022,pDCs,11,0.004511894995898278
GSM4029912_JB17023,B Cells,586,0.2912524850894632
GSM4029912_JB17023,CD4 T Cells,543,0.2698807157057654
GSM4029912_JB17023,CD8 T Cells,178,0.08846918489065607
GSM4029912_JB17023,Classical Monocytes,299,0.14860834990059643
GSM4029912_JB17023,IFN-stimulated T Cells,70,0.03479125248508946
GSM4029912_JB17023,NK Cells,152,0.07554671968190854
GSM4029912_JB17023,Non-classical Monocytes,152,0.07554671968190854
GSM4029912_JB17023,Plasma Cells,3,0.0014910536779324055
GSM4029912_JB17023,cDCs,20,0.009940357852882704
GSM4029912_JB17023,pDCs,9,0.0044731610337972166
GSM4029913_JB17024,B Cells,1014,0.32241653418124006
GSM4029913_JB17024,CD4 T Cells,429,0.13640699523052463
GSM4029913_JB17024,CD8 T Cells,82,0.026073131955484895
GSM4029913_JB17024,Classical Monocytes,960,0.3052464228934817
GSM4029913_JB17024,IFN-stimulated T Cells,36,0.011446740858505564
GSM4029913_JB17024,NK Cells,257,0.08171701112877583
GSM4029913_JB17024,Non-classical Monocytes,313,0.09952305246422893
GSM4029913_JB17024,Plasma Cells,4,0.0012718600953895071
GSM4029913_JB17024,cDCs,39,0.012400635930047695
GSM4029913_JB17024,pDCs,11,0.0034976152623211448
GSM4029914_JB17017,B Cells,1204,0.3402090986154281
GSM4029914_JB17017,CD4 T Cells,641,0.18112461147216727
GSM4029914_JB17017,CD8 T Cells,655,0.18508053122350945
GSM4029914_JB17017,Classical Monocytes,373,0.10539700480361684
GSM4029914_JB17017,IFN-stimulated T Cells,16,0.004521051144391071
GSM4029914_JB17017,NK Cells,309,0.08731280022605256
GSM4029914_JB17017,Non-classical Monocytes,180,0.050861825374399545
GSM4029914_JB17017,Plasma Cells,44,0.012432890647075446
GSM4029914_JB17017,cDCs,88,0.02486578129415089
GSM4029914_JB17017,pDCs,29,0.008194405199208816
GSM4029915_JB17018,B Cells,743,0.19012282497441146
GSM4029915_JB17018,CD4 T Cells,717,0.18346980552712386
GSM4029915_JB17018,CD8 T Cells,518,0.13254861821903788
GSM4029915_JB17018,Classical Monocytes,692,0.17707267144319344
GSM4029915_JB17018,IFN-stimulated T Cells,6,0.0015353121801432957
GSM4029915_JB17018,NK Cells,938,0.24002047082906858
GSM4029915_JB17018,Non-classical Monocytes,158,0.040429887410440124
GSM4029915_JB17018,Plasma Cells,8,0.0020470829068577278
GSM4029915_JB17018,cDCs,85,0.02175025588536336
GSM4029915_JB17018,pDCs,43,0.011003070624360286
GSM4029916_JB18063,B Cells,758,0.28799392097264437
GSM4029916_JB18063,CD4 T Cells,362,0.13753799392097266
GSM4029916_JB18063,CD8 T Cells,247,0.09384498480243161
GSM4029916_JB18063,Classical Monocytes,644,0.24468085106382978
GSM4029916_JB18063,IFN-stimulated T Cells,23,0.008738601823708206
GSM4029916_JB18063,NK Cells,163,0.06193009118541033
GSM4029916_JB18063,Non-classical Monocytes,220,0.08358662613981763
GSM4029916_JB18063,Plasma Cells,178,0.067629179331307
GSM4029916_JB18063,cDCs,31,0.011778115501519757
GSM4029916_JB18063,pDCs,6,0.0022796352583586625
GSM4029917_JB18064,B Cells,322,0.07221350078492936
GSM4029917_JB18064,CD4 T Cells,1471,0.3298945952007177
GSM4029917_JB18064,CD8 T Cells,937,0.21013680197353668
GSM4029917_JB18064,Classical Monocytes,719,0.16124691634895716
GSM4029917_JB18064,IFN-stimulated T Cells,92,0.020632428795694102
GSM4029917_JB18064,NK Cells,291,0.065261269342902
GSM4029917_JB18064,Non-classical Monocytes,434,0.09733124018838304
GSM4029917_JB18064,Plasma Cells,133,0.029827315541601257
GSM4029917_JB18064,cDCs,45,0.010091948867459071
GSM4029917_JB18064,pDCs,15,0.0033639829558196905
GSM4029918_JB18065,B Cells,249,0.09343339587242026
GSM4029918_JB18065,CD4 T Cells,870,0.32645403377110693
GSM4029918_JB18065,CD8 T Cells,569,0.21350844277673545
GSM4029918_JB18065,Classical Monocytes,453,0.1699812382739212
GSM4029918_JB18065,IFN-stimulated T Cells,1,0.000375234521575985
GSM4029918_JB18065,NK Cells,300,0.1125703564727955
GSM4029918_JB18065,Non-classical Monocytes,148,0.05553470919324578
GSM4029918_JB18065,Plasma Cells,20,0.0075046904315197
GSM4029918_JB18065,cDCs,49,0.018386491557223265
GSM4029918_JB18065,pDCs,6,0.00225140712945591
GSM4029919_JB18066,B Cells,398,0.199
GSM4029919_JB18066,CD4 T Cells,308,0.154
GSM4029919_JB18066,CD8 T Cells,514,0.257
GSM4029919_JB18066,Classical Monocytes,443,0.2215
GSM4029919_JB18066,IFN-stimulated T Cells,33,0.0165
GSM4029919_JB18066,NK Cells,148,0.074
GSM4029919_JB18066,Non-classical Monocytes,132,0.066
GSM4029919_JB18066,Plasma Cells,14,0.007
GSM4029919_JB18066,cDCs,9,0.0045
GSM4029919_JB18066,pDCs,1,0.0005
GSM4029920_JB18067,B Cells,325,0.15046296296296297
GSM4029920_JB18067,CD4 T Cells,525,0.24305555555555555
GSM4029920_JB18067,CD8 T Cells,206,0.09537037037037037
GSM4029920_JB18067,Classical Monocytes,709,0.3282407407407407
GSM4029920_JB18067,IFN-stimulated T Cells,26,0.012037037037037037
GSM4029920_JB18067,NK Cells,162,0.075
GSM4029920_JB18067,Non-classical Monocytes,152,0.07037037037037037
GSM4029920_JB18067,Plasma Cells,2,0.000925925925925926
GSM4029920_JB18067,cDCs,37,0.01712962962962963
GSM4029920_JB18067,pDCs,16,0.007407407407407408
GSM4029921_JB18068,B Cells,408,0.1739872068230277
GSM4029921_JB18068,CD4 T Cells,325,0.13859275053304904
GSM4029921_JB18068,CD8 T Cells,543,0.23155650319829424
GSM4029921_JB18068,Classical Monocytes,514,0.21918976545842217
GSM4029921_JB18068,IFN-stimulated T Cells,29,0.012366737739872069
GSM4029921_JB18068,NK Cells,184,0.07846481876332623
GSM4029921_JB18068,Non-classical Monocytes,229,0.0976545842217484
GSM4029921_JB18068,Plasma Cells,84,0.03582089552238806
GSM4029921_JB18068,cDCs,21,0.008955223880597015
GSM4029921_JB18068,pDCs,8,0.003411513859275053
GSM4029922_JB18069,B Cells,453,0.1423185673892554
