cluster,assigned_cell_type,marker,n_cells,mean_expression,fraction_expressing
2,Classical Monocytes,MS4A1,37329,0.041109027261121374,0.02941412842562083
2,Classical Monocytes,CD79A,37329,0.06094996369160637,0.04508559029173029
2,Classical Monocytes,CD37,37329,1.3734273040076532,0.7241822711564735
2,Classical Monocytes,NKG7,37329,0.4581871342945132,0.30231187548554744
2,Classical Monocytes,GNLY,37329,0.38308032508682527,0.2575745399019529
2,Classical Monocytes,KLRD1,37329,0.023277103366800455,0.017546679525302044
2,Classical Monocytes,LYZ,37329,4.994190543815751,0.9994106458785394
2,Classical Monocytes,LST1,37329,2.529831383812325,0.9576200809022476
2,Classical Monocytes,FCGR3A,37329,0.10312402144594578,0.07573200460767768
2,Classical Monocytes,S100A8,37329,4.858499674528934,0.9976693723378607
2,Classical Monocytes,S100A9,37329,5.209646115110409,0.9991695464652147
2,Classical Monocytes,FCER1A,37329,0.018003811391774597,0.013046157143239841
2,Classical Monocytes,CD1C,37329,0.02717136163367802,0.02204720190736425
2,Classical Monocytes,GZMB,37329,0.08155761381352807,0.0618821827533553
2,Classical Monocytes,TCF4,37329,0.077152323425367,0.05904256744086367
2,Classical Monocytes,PLD4,37329,0.025781392180925077,0.020814916017037693
2,Classical Monocytes,IGJ,37329,0.19830421772600737,0.1347477832248386
2,Classical Monocytes,MZB1,37329,0.050446226175357226,0.03932599319563878
2,Classical Monocytes,IGLL5,37329,0.2536981216618083,0.1620991722253476
2,Classical Monocytes,ISG15,37329,1.606750816194617,0.634868332931501
2,Classical Monocytes,IFIT1,37329,0.17295307643369665,0.12218382490824828
2,Classical Monocytes,HBA1,37329,0.39305961295316055,0.20707760722226687
2,Classical Monocytes,PPBP,37329,0.10262015816956457,0.06273942511184334
2,Classical Monocytes,PF4,37329,0.05708110243151505,0.03929920437193603
2,Classical Monocytes,TUBB1,37329,0.022324968385972328,0.016367971282380992
2,Classical Monocytes,LTB,37329,0.38889485017196096,0.253475849875432
2,Classical Monocytes,JUNB,37329,2.35313725882018,0.9226606659701573
3,B Cells,CD3D,29889,0.17601977643142191,0.1182040215463883
3,B Cells,CD3E,29889,0.11693511154912563,0.08083241326240423
3,B Cells,IL7R,29889,0.09126375276532911,0.06306668004951654
3,B Cells,CCR7,29889,0.4275973834646538,0.25564588979223124
