interaction_id,source,target,ligand_complex,receptor_complex,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,r_squared,condition_number,interaction_p_value,fdr_q_value
Classical Monocytes|CD8 T Cells|RETN|CAP1,Classical Monocytes,CD8 T Cells,RETN,CAP1,-0.2748121558191525,-0.5151088341421178,-0.03451547749618725,52,0.10795367363930286,12.33200631643905,0.02499453393474418,0.21329794837555338
Non-classical Monocytes|B Cells|ADAM10|CD44,Non-classical Monocytes,B Cells,ADAM10,CD44,-0.23330590954861113,-0.43750768024343123,-0.02910413885379104,52,0.17003676751556995,12.33200631643905,0.02513571670199331,0.21378054003109462
Classical Monocytes|Non-classical Monocytes|GRN|TNFRSF1B,Classical Monocytes,Non-classical Monocytes,GRN,TNFRSF1B,-0.1120725445825293,-0.2102701073888486,-0.01387498177620998,52,0.06979741476643675,12.33200631643905,0.025292861391804367,0.2143951942137511
B Cells|CD4 T Cells|HLA-B|CD3D,B Cells,CD4 T Cells,HLA-B,CD3D,-0.003363673595719957,-0.006315188868417487,-0.0004121583230224271,52,0.14384346797166114,12.33200631643905,0.025505508589353305,0.2154746310926637
NK Cells|Non-classical Monocytes|HLA-A|LILRB2,NK Cells,Non-classical Monocytes,HLA-A,LILRB2,-0.012637015965547893,-0.02375227336558871,-0.0015217585655070785,52,0.05689435830424128,12.33200631643905,0.025860707600566385,0.21758877371493518
Non-classical Monocytes|Non-classical Monocytes|LTB|TNFRSF1A,Non-classical Monocytes,Non-classical Monocytes,LTB,TNFRSF1A,-0.32899527072100726,-0.6185038130995352,-0.03948672834247935,52,0.14346784553626102,12.33200631643905,0.025928036772840654,0.21758877371493518
NK Cells|Non-classical Monocytes|CD52|SIGLEC10,NK Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2102223846883947,-0.39539774269551986,-0.02504702668126954,51,0.3328409792175402,12.159008301833843,0.02607647809845025,0.21810987972412363
Non-classical Monocytes|pDCs|IL16|CD4,Non-classical Monocytes,pDCs,IL16,CD4,-0.3211237580498666,-0.6047636048211837,-0.03748391127854939,40,0.3305834668073224,10.282285862007804,0.02648812043078189,0.22080104815572243
Classical Monocytes|CD8 T Cells|HLA-DPA1|LAG3,Classical Monocytes,CD8 T Cells,HLA-DPA1,LAG3,-0.21713145417257312,-0.40902553883644094,-0.02523736950870531,51,0.3325992363825865,12.159008301833843,0.026573047759041814,0.22080104815572243
Non-classical Monocytes|CD4 T Cells|HLA-DRB1|CD4,Non-classical Monocytes,CD4 T Cells,HLA-DRB1,CD4,-0.19004667879405826,-0.3584585410857214,-0.021634816502395127,52,0.19370049078787344,12.33200631643905,0.026984062921420863,0.22348112439183312
