interaction_id,source,target,ligand_complex,receptor_complex,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,interaction_p_value,fdr_q_value,n_cHD,mean_cHD,n_cSLE,mean_cSLE,n_aHD,mean_aHD,n_aSLE,mean_aSLE
Classical Monocytes|Non-classical Monocytes|ADAM15|ITGB1,Classical Monocytes,Non-classical Monocytes,ADAM15,ITGB1,-0.0076799168573539675,-0.09847583730413434,0.08311600358942642,50,0.8683282419174188,0.9569759735560994,9,0.05258602732379279,29,0.01925001900234474,5,0.03700050583243499,7,0.011344414368340914
Non-classical Monocytes|CD8 T Cells|APP|LRP10,Non-classical Monocytes,CD8 T Cells,APP,LRP10,-0.02725539758556439,-0.35424910877833793,0.29973831360720915,46,0.8702304084548695,0.9579868446322573,6,0.2508765975503393,28,0.23201147245414452,5,0.20481228935557816,7,0.21320256184494776
NK Cells|CD4 T Cells|MIF|CD74_CXCR4,NK Cells,CD4 T Cells,MIF,CD74_CXCR4,0.026272228285373234,-0.291148214261393,0.34369267083213945,52,0.8711309310690111,0.9579868446322573,10,0.4556911715786738,30,0.5607933083830777,5,0.36166269614956076,7,0.44049260466859147
pDCs|Non-classical Monocytes|HLA-DRB5|CD4,pDCs,Non-classical Monocytes,HLA-DRB5,CD4,0.040489269735578204,-0.4489302518488673,0.5299087913200238,37,0.8711907335509529,0.9579868446322573,8,0.3105294203645921,18,0.33313634201837067,5,0.32278385755980477,6,0.30490150947800515
Non-classical Monocytes|B Cells|CD14|ITGB2,Non-classical Monocytes,B Cells,CD14,ITGB2,-0.024081089645020093,-0.3138019099005724,0.2656397306105322,52,0.8705902494688735,0.9579868446322573,10,0.2784739141497302,30,0.2821671787056708,5,0.2013129865825579,7,0.22908734078351858
pDCs|NK Cells|PKM|CD44,pDCs,NK Cells,PKM,CD44,-0.018775062199339332,-0.24656858802715118,0.2090184636284725,42,0.8716657601844116,0.9580652380350202,9,0.21611659374054576,21,0.2281023136228362,5,0.21381675931369357,7,0.24457754139532334
CD4 T Cells|Non-classical Monocytes|CALM1|PTPRA,CD4 T Cells,Non-classical Monocytes,CALM1,PTPRA,-0.016015911354491708,-0.21444597922111547,0.18241415651213205,47,0.8743032831543752,0.9605193013543205,10,0.4922615962121185,25,0.45947231482344103,5,0.45349837032080986,7,0.4367250002866241
Non-classical Monocytes|NK Cells|LGALS9|CD44,Non-classical Monocytes,NK Cells,LGALS9,CD44,-0.021499121216305705,-0.28891565396429164,0.24591741153168023,52,0.8747936402273571,0.9606132847105592,10,0.0983240975394202,30,0.21236329857545772,5,0.2742609356211433,7,0.40979925787348653
pDCs|B Cells|HMGB1|CXCR4,pDCs,B Cells,HMGB1,CXCR4,0.0017357668711399654,-0.0199403664398854,0.02341190018216533,42,0.8752852926018553,0.9607086028419068,9,0.9871473371488731,21,0.9804480669123964,5,0.9887443427719521,7,0.9803093056643354
Non-classical Monocytes|CD4 T Cells|APP|CD74,Non-classical Monocytes,CD4 T Cells,APP,CD74,0.02368746135823585,-0.27972265307111654,0.32709757578758825,46,0.8783857380736498,0.9636659068186644,6,0.3558027134182091,28,0.4247383890743092,5,0.3896611850941464,7,0.4349093993920106
