comparison,tested,fdr05,shared_tests,coefficient_r,primary_significant_testable,primary_significant_still_significant,primary_significant_not_testable
original_exclusions,2527,123,2371,0.9100088205355721,171,104,0
alternative_resource,514,29,333,0.8283611302066092,17,10,154
