interaction_id,source,target,ligand_complex,receptor_complex,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,interaction_p_value,fdr_q_value,n_cHD,mean_cHD,n_cSLE,mean_cSLE,n_aHD,mean_aHD,n_aSLE,mean_aSLE
Non-classical Monocytes|Non-classical Monocytes|LGALS9|PTPRC,Non-classical Monocytes,Non-classical Monocytes,LGALS9,PTPRC,-0.1442770426015455,-0.2665580774735694,-0.021996007729521566,56,0.020748833561499005,0.15250071478327754,11,0.6985447028890414,33,0.6623652576042153,5,0.610858602660558,7,0.7189561999772774
NK Cells|NK Cells|ICAM3|ITGAL,NK Cells,NK Cells,ICAM3,ITGAL,0.237033348459445,0.03618609384092694,0.43788060307796306,56,0.02071795142974382,0.15250071478327754,11,0.13121825471100249,33,0.19344617644970355,5,0.39562483956862476,7,0.22081941284788084
NK Cells|Non-classical Monocytes|HLA-C|LILRB2,NK Cells,Non-classical Monocytes,HLA-C,LILRB2,-0.012273157036855054,-0.022674508537508915,-0.0018718055362011918,56,0.02074051354718943,0.15250071478327754,11,0.992967871474254,33,0.9842776560890246,5,0.9832390490827179,7,0.9868219907343435
pDCs|Non-classical Monocytes|HLA-C|LILRA1,pDCs,Non-classical Monocytes,HLA-C,LILRA1,-0.2248326142827804,-0.41609211450287464,-0.03357311406268612,44,0.021222074778463614,0.15282939309467206,10,0.6870805923459141,22,0.6045808255298885,5,0.44839068976758895,7,0.5907235372343437
pDCs|pDCs|SELPLG|SELL,pDCs,pDCs,SELPLG,SELL,-0.2738440832711218,-0.5066783611151545,-0.04100980542708907,44,0.021156585869789527,0.15282939309467206,10,0.5261564273520317,22,0.47622527166670475,5,0.27733888468077,7,0.5012518122665649
CD4 T Cells|NK Cells|SIRPG|CD47,CD4 T Cells,NK Cells,SIRPG,CD47,-0.26736761546893617,-0.4947479055885498,-0.03998732534932253,54,0.021186451645179915,0.15282939309467206,11,0.2627816983753581,31,0.21708901736636796,5,0.04041439686136685,7,0.2620893313213129
Non-classical Monocytes|Non-classical Monocytes|ICAM3|ITGAL,Non-classical Monocytes,Non-classical Monocytes,ICAM3,ITGAL,0.23207690396965974,0.0346717710664228,0.42948203687289666,56,0.021211002478919588,0.15282939309467206,11,0.16685502207720376,33,0.3535169078342735,5,0.37652664124192003,7,0.33111162302933
CD8 T Cells|B Cells|PKM|CD44,CD8 T Cells,B Cells,PKM,CD44,0.2334129723957517,0.034820437124485376,0.43200550766701806,56,0.021244186908694934,0.15282939309467206,11,0.1753545923345132,33,0.30493292460147403,5,0.2569414554093707,7,0.15310681528057982
Classical Monocytes|NK Cells|HLA-B|CD8A,Classical Monocytes,NK Cells,HLA-B,CD8A,-0.17051655833887314,-0.3155629558364316,-0.02547016084131465,42,0.021215131560306216,0.15282939309467206,8,0.6565936187773668,22,0.5559920518632672,5,0.898397076486462,7,0.9683120679112356
NK Cells|CD4 T Cells|CD47|SIRPG,NK Cells,CD4 T Cells,CD47,SIRPG,-0.26736761546893617,-0.4947479055885498,-0.03998732534932253,54,0.021186451645179915,0.15282939309467206,11,0.2627816983753581,31,0.21708901736636796,5,0.04041439686136685,7,0.2620893313213129
NK Cells|CD8 T Cells|SELPLG|SELL,NK Cells,CD8 T Cells,SELPLG,SELL,0.218221669287739,0.03201467511097844,0.40442866346449957,56,0.021622094918152236,0.15507810675436076,11,0.19318081386992556,33,0.24824785913805747,5,0.37927782909883834,7,0.21612320507923125
NK Cells|NK Cells|CD48|CD244,NK Cells,NK Cells,CD48,CD244,0.23635930591190218,0.03356098103022409,0.4391576307935803,53,0.022352888432092453,0.15739548903914227,11,0.3283294509873578,32,0.3964407610829244,5,0.5284613437310834,5,0.3602133479147479
pDCs|Non-classical Monocytes|HLA-B|LILRB2,pDCs,Non-classical Monocytes,HLA-B,LILRB2,-0.043431176413266104,-0.08066549134585971,-0.0061968614806725,44,0.022244993906008013,0.15739548903914227,10,0.9825816658063289,22,0.9697342939671612,5,0.9489727660506224,7,0.9795565706247208
