cohort,review_group,label,gene,cells,fraction_detected,mean_log_expression
child,other,B Cells,IL7R,29889,0.06306668004951654,0.09126375
child,other,B Cells,CCR7,29889,0.25564588979223124,0.4275974
child,other,B Cells,TCF7,29889,0.11030814011843822,0.16083582
child,other,B Cells,LEF1,29889,0.032286125330389104,0.04537605
child,other,B Cells,CD8A,29889,0.022148616547893876,0.030923078
child,other,B Cells,CD8B,29889,0.03650172304192178,0.051183198
child,other,B Cells,NKG7,29889,0.18458295694068053,0.2896378
child,other,B Cells,CCL5,29889,0.12158319114055338,0.18410388
child,other,B Cells,GZMK,29889,0.015089163237311385,0.021994721
child,other,B Cells,PRF1,29889,0.031951554083442066,0.046468645
child,other,B Cells,GNLY,29889,0.2175716818896584,0.34821317
child,other,B Cells,MS4A1,29889,0.8387032018468333,1.8906687
child,other,B Cells,CD79A,29889,0.9625949345913212,2.6522267
child,other,B Cells,CD79B,29889,0.8375656596072134,1.8784652
child,other,B Cells,LYZ,29889,0.362173374820168,0.6064408
child,other,B Cells,LST1,29889,0.17872796011910735,0.2736855
child,other,B Cells,FCN1,29889,0.09197363578574057,0.13807273
child,other,B Cells,S100A8,29889,0.3633778313091773,0.62762874
child,other,B Cells,S100A9,29889,0.43460804978420153,0.7843074
child,other,B Cells,PPBP,29889,0.017966475961055908,0.02874512
child,other,B Cells,PF4,29889,0.011709993643146307,0.019239336
child,other,B Cells,HBA1,29889,0.10391782930174981,0.19328514
child,other,Classical Monocytes,CD3D,37329,0.13354228615821478,0.18798241
child,other,Classical Monocytes,CD3E,37329,0.08851027351389,0.121531084
child,other,Classical Monocytes,CD4,37329,0.26022663344852526,0.37727067
child,other,Classical Monocytes,IL7R,37329,0.06640949395912026,0.09399781
child,other,Classical Monocytes,CCR7,37329,0.029655227838945593,0.03848835
child,other,Classical Monocytes,TCF7,37329,0.058721101556430656,0.07779129
child,other,Classical Monocytes,LEF1,37329,0.030887513729272148,0.040771708
child,other,Classical Monocytes,CD8A,37329,0.028422941948619038,0.03738147
child,other,Classical Monocytes,CD8B,37329,0.039861769669693806,0.053632766
child,other,Classical Monocytes,NKG7,37329,0.30231187548554744,0.45818713
child,other,Classical Monocytes,CCL5,37329,0.14707064212810417,0.21411303
child,other,Classical Monocytes,GZMK,37329,0.01813603364676257,0.025071718
child,other,Classical Monocytes,PRF1,37329,0.03335208550992526,0.044000942
child,other,Classical Monocytes,GNLY,37329,0.2575745399019529,0.38308033
child,other,Classical Monocytes,MS4A1,37329,0.02941412842562083,0.041109025
child,other,Classical Monocytes,CD79A,37329,0.04508559029173029,0.060949963
child,other,Classical Monocytes,CD79B,37329,0.06338235688070937,0.080605775
child,other,Classical Monocytes,LYZ,37329,0.9994106458785394,4.99419
child,other,Classical Monocytes,LST1,37329,0.9576200809022476,2.5298314
child,other,Classical Monocytes,FCN1,37329,0.9574057703126255,2.780115
child,other,Classical Monocytes,S100A8,37329,0.9976693723378607,4.8584995
child,other,Classical Monocytes,S100A9,37329,0.9991695464652147,5.2096457
child,other,Classical Monocytes,PPBP,37329,0.06273942511184334,0.10262016
child,other,Classical Monocytes,PF4,37329,0.03929920437193603,0.057081103
child,other,Classical Monocytes,HBA1,37329,0.20707760722226687,0.3930596
child,other,IFN-stimulated T Cells,CD3D,1182,0.9077834179357022,1.9402075
child,other,IFN-stimulated T Cells,CD3E,1182,0.8934010152284264,1.8369707
child,other,IFN-stimulated T Cells,CD4,1182,0.11505922165820642,0.15355605
child,other,IFN-stimulated T Cells,IL7R,1182,0.7326565143824028,1.4129282
child,other,IFN-stimulated T Cells,CCR7,1182,0.6269035532994924,1.0907055
child,other,IFN-stimulated T Cells,TCF7,1182,0.505922165820643,0.79927766
child,other,IFN-stimulated T Cells,LEF1,1182,0.4754653130287648,0.7570522
child,other,IFN-stimulated T Cells,CD8A,1182,0.19204737732656516,0.29430604
child,other,IFN-stimulated T Cells,CD8B,1182,0.2512690355329949,0.44074127
child,other,IFN-stimulated T Cells,NKG7,1182,0.23519458544839256,0.33687815
child,other,IFN-stimulated T Cells,CCL5,1182,0.18527918781725888,0.3499741
child,other,IFN-stimulated T Cells,GZMK,1182,0.09306260575296109,0.19825971
child,other,IFN-stimulated T Cells,PRF1,1182,0.07360406091370558,0.09765474
child,other,IFN-stimulated T Cells,GNLY,1182,0.22673434856175972,0.32226992
child,other,IFN-stimulated T Cells,MS4A1,1182,0.0194585448392555,0.025477808
child,other,IFN-stimulated T Cells,CD79A,1182,0.07529610829103214,0.09936131
child,other,IFN-stimulated T Cells,CD79B,1182,0.06937394247038917,0.09387314
child,other,IFN-stimulated T Cells,LYZ,1182,0.4010152284263959,0.6453498
child,other,IFN-stimulated T Cells,LST1,1182,0.1658206429780034,0.22836965
child,other,IFN-stimulated T Cells,FCN1,1182,0.1065989847715736,0.15173249
child,other,IFN-stimulated T Cells,S100A8,1182,0.41539763113367173,0.6668452
child,other,IFN-stimulated T Cells,S100A9,1182,0.49746192893401014,0.836141
child,other,IFN-stimulated T Cells,PPBP,1182,0.017766497461928935,0.025209898
child,other,IFN-stimulated T Cells,PF4,1182,0.012690355329949238,0.017619006
child,other,IFN-stimulated T Cells,HBA1,1182,0.12859560067681894,0.21889234
child,other,NK Cells,CD3D,16526,0.20694662955343096,0.42614108
child,other,NK Cells,CD3E,16526,0.30818104804550406,0.59773797
child,other,NK Cells,CD4,16526,0.01119448142321191,0.016427035
child,other,NK Cells,IL7R,16526,0.10795110734600025,0.18283686
child,other,NK Cells,CCR7,16526,0.03576182984388237,0.05349084
child,other,NK Cells,TCF7,16526,0.1692484569768849,0.26799318
child,other,NK Cells,LEF1,16526,0.06075275323732301,0.09005768
child,other,NK Cells,CD8A,16526,0.12549921336076486,0.2130393
child,other,NK Cells,CD8B,16526,0.05881641050465933,0.09392838
child,other,NK Cells,NKG7,16526,0.9932228004356771,4.2413063
child,other,NK Cells,CCL5,16526,0.791661624107467,2.6303725
child,other,NK Cells,GZMK,16526,0.12701198112065837,0.25997382
child,other,NK Cells,PRF1,16526,0.883153818225826,2.3554432
child,other,NK Cells,GNLY,16526,0.9856589616362096,4.5992885
child,other,NK Cells,MS4A1,16526,0.020815684376134576,0.031349774
child,other,NK Cells,CD79A,16526,0.044959457824034856,0.06798188
child,other,NK Cells,CD79B,16526,0.1409899552220743,0.223169
child,other,NK Cells,LYZ,16526,0.3196175723102989,0.5468217
child,other,NK Cells,LST1,16526,0.1340312235265642,0.21333113
child,other,NK Cells,FCN1,16526,0.08296018395255961,0.1261097
