cohort,sample,review_group,label,cells,n_genes_by_counts_median,total_counts_median,pct_counts_mt_median,doublet_score_median,ribosomal_percent_retained_genes_median,reference_probability_median,nonT_multimarker_flag_fraction,CD8_both_detected_fraction,same_restoration_gate_fraction,p08_fraction
child,GSM4029896_JB17001,other,RBCs,5,477.0,862.0,3.128911138923655,0.0401633764465622,10.735123,0.3673326547633183,0.8,0.0,0.0,0.2
child,GSM4029896_JB17001,other,cDCs,71,2187.0,7281.0,2.573879885605338,0.087378640776699,22.23074,0.689798609641194,1.0,0.0,0.0,0.352112676056338
child,GSM4029896_JB17001,other,pDCs,8,1151.0,2613.0,2.9492968116116236,0.09859667359667355,24.5667,0.981344552916898,0.625,0.0,0.0,1.0
child,GSM4029896_JB17001,restored,CD4 T Cells,321,786.0,2119.0,1.401584399756246,0.0372630202658531,42.637363,0.9606349237341242,0.45794392523364486,0.003115264797507788,1.0,0.8348909657320872
child,GSM4029896_JB17001,restored,CD8 T Cells,227,969.0,2812.0,1.6699688649872628,0.038683859493108,44.239502,0.9344098240063096,0.4977973568281938,0.44933920704845814,1.0,0.8193832599118943
child,GSM4029897_JB17002,excluded_unrestored,Ribosomal/Low-quality,859,757.0,2060.0,2.1760633036597428,0.0509726668308298,40.99581,0.9095574618375366,0.32945285215366704,0.1280558789289872,0.0,0.6356228172293364
child,GSM4029897_JB17002,original_T,CD4 T Cells,451,941.0,2441.0,2.1632937892533146,0.0570221752903907,34.9286,0.7853280303432089,0.376940133037694,0.004434589800443459,0.47671840354767187,0.47671840354767187
child,GSM4029897_JB17002,original_T,CD8 T Cells,294,922.0,2108.0,3.2289886163553563,0.0249957490222751,24.866957499999998,0.6202080222456394,0.2891156462585034,0.35374149659863946,0.3673469387755102,0.3435374149659864
child,GSM4029897_JB17002,other,B Cells,994,798.0,2065.5,2.747728744818441,0.0368852459016393,37.6839045,0.8713277913435704,0.9225352112676056,0.0,0.001006036217303823,0.60261569416499
child,GSM4029897_JB17002,other,Classical Monocytes,907,953.0,2316.0,4.380952380952381,0.0288200108754758,19.097586,0.9400114020997424,1.0,0.0011025358324145535,0.0,0.7717750826901875
