interaction_id,source,target,ligand_complex,receptor_complex,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,interaction_p_value,fdr_q_value,n_cHD,mean_cHD,n_cSLE,mean_cSLE,n_aHD,mean_aHD,n_aSLE,mean_aSLE,pediatric_sle_minus_healthy,adult_sle_minus_healthy,difference_in_differences_from_means
Non-classical Monocytes|CD4 T Cells|CD48|CD2,Non-classical Monocytes,CD4 T Cells,CD48,CD2,-0.3220652674780353,-0.4306674410985377,-0.2134630938575329,56,6.15934657730052e-09,1.4622288774511436e-05,11,0.6655895952955124,33,0.4407838370552549,5,0.5867941950125122,7,0.68405370425029,-0.2248057582402575,0.09725950923777782,-0.3220652674780353
CD8 T Cells|Non-classical Monocytes|IL16|CD4,CD8 T Cells,Non-classical Monocytes,IL16,CD4,-0.35067926773196334,-0.48675482142746274,-0.21460371403646394,56,4.394842468689828e-07,0.0005216678010334827,11,0.3153551812168114,33,0.1265819022008632,5,0.2558882703593863,7,0.4177942590754015,-0.18877327901594818,0.1619059887160152,-0.35067926773196334
CD8 T Cells|Classical Monocytes|IL16|CD4,CD8 T Cells,Classical Monocytes,IL16,CD4,-0.2830855924696821,-0.40535604500602684,-0.16081513993333743,56,5.68469831682003e-06,0.001002619075903565,11,0.27831914717433165,33,0.07081979234532067,5,0.25034005189730146,7,0.3259262895379726,-0.207499354829011,0.07558623764067113,-0.2830855924696821
Non-classical Monocytes|CD4 T Cells|GNAI2|S1PR4,Non-classical Monocytes,CD4 T Cells,GNAI2,S1PR4,0.4548448904640047,0.2656103327187822,0.6440794482092272,56,2.4653235040736458e-06,0.001002619075903565,11,0.14342266025937783,33,0.30845465539638983,5,0.4639496577391998,7,0.17413676241220705,0.165031995137012,-0.2898128953269927,0.4548448904640047
NK Cells|CD8 T Cells|LCK|CD8A_CD8B,NK Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.3709022534530245,-0.5288192006969757,-0.21298530620907327,56,4.156464976513509e-06,0.001002619075903565,11,0.4116891810007433,33,0.30743641966182006,5,0.3000237059236722,7,0.5666731980377735,-0.10425276133892325,0.26664949211410127,-0.3709022534530245
B Cells|Non-classical Monocytes|CD52|SIGLEC10,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2786078745038154,-0.39449205976630103,-0.1627236892413298,55,2.4514034587201872e-06,0.001002619075903565,11,0.9111971897590002,32,0.675268549141254,5,0.8271275842468622,7,0.8698068181329314,-0.2359286406177462,0.0426792338860692,-0.2786078745038154
Classical Monocytes|CD4 T Cells|GNAI2|S1PR4,Classical Monocytes,CD4 T Cells,GNAI2,S1PR4,0.4022915853372883,0.22894386786775858,0.5756393028068181,56,5.4022350021856055e-06,0.001002619075903565,11,0.2011100585440565,33,0.3422717354141288,5,0.5137529906415061,7,0.25262308217429014,0.1411616768700723,-0.261129908467216,0.4022915853372883
Non-classical Monocytes|NK Cells|CD48|CD2,Non-classical Monocytes,NK Cells,CD48,CD2,-0.3843420234711049,-0.5402872776087363,-0.22839676933347355,56,1.3617757137124808e-06,0.001002619075903565,11,0.5556362058137908,33,0.3642836343784136,5,0.5597028398780657,7,0.7526922919137934,-0.1913525714353772,0.1929894520357277,-0.3843420234711049
CD4 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD4 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2826151149676057,-0.4022303636536167,-0.16299986628159474,55,3.6423863057842448e-06,0.001002619075903565,11,0.8500943333395938,32,0.6283635827216776,5,0.7667218155189108,7,0.8276061798686002,-0.22173075061791625,0.06088436434968936,-0.2826151149676056
Classical Monocytes|NK Cells|TIMP2|ITGB1,Classical Monocytes,NK Cells,TIMP2,ITGB1,0.31232444088690003,0.1804315994235948,0.4442172823502053,56,3.4634589319556545e-06,0.001002619075903565,11,0.27819559108237374,33,0.3503241539002543,5,0.39017808613883165,7,0.14998220806981216,0.07212856281788055,-0.2401958780690195,0.31232444088690003
CD4 T Cells|NK Cells|CD48|CD244,CD4 T Cells,NK Cells,CD48,CD244,0.40258005748475245,0.23153181922492078,0.5736282957445842,53,3.969330316884271e-06,0.001002619075903565,11,0.23949496308222767,32,0.42373129717300684,5,0.5523988389128482,5,0.33405511551887496,0.18423633409077916,-0.2183437233939733,0.40258005748475245
B Cells|B Cells|LTB|CD40,B Cells,B Cells,LTB,CD40,-0.3764563666674299,-0.5385724361942276,-0.21434029714063219,56,5.331225358733552e-06,0.001002619075903565,11,0.7878897721017986,33,0.6017843365623001,5,0.6399719706540419,7,0.8303229017819733,-0.18610543553949843,0.19035093112793144,-0.3764563666674299
Classical Monocytes|Non-classical Monocytes|ARF6|SMAP1,Classical Monocytes,Non-classical Monocytes,ARF6,SMAP1,-0.46165618217592,-0.6596311661860459,-0.2636811981657941,55,4.867399212589843e-06,0.001002619075903565,11,0.26237759889251033,32,0.216655760730046,5,0.1524443772132305,7,0.5683787212266862,-0.045721838162464334,0.4159343440134557,-0.46165618217592
CD4 T Cells|Non-classical Monocytes|MFNG|NOTCH2,CD4 T Cells,Non-classical Monocytes,MFNG,NOTCH2,-0.2195250141625254,-0.314516119936891,-0.12453390838815984,56,5.9126651485467195e-06,0.001002619075903565,11,0.22598185896323322,33,0.10313751769333811,5,0.015579973877482356,7,0.11226064677011265,-0.12284434126989512,0.09668067289263028,-0.2195250141625254
CD4 T Cells|Classical Monocytes|CALR|LRP1,CD4 T Cells,Classical Monocytes,CALR,LRP1,-0.37190152433385115,-0.5338472347221044,-0.20995581394559795,56,6.76424629862964e-06,0.001019901293212703,11,0.3411847738266606,33,0.21843828680388555,5,0.1222335514626431,7,0.37138858877371916,-0.12274648702277507,0.24915503731107608,-0.37190152433385115
CD8 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD8 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2853884587906127,-0.4097561653646453,-0.16102075221658008,55,6.873808210363625e-06,0.001019901293212703,11,0.8400557467920048,32,0.6232156992041832,5,0.7218137650597051,7,0.7903621762624962,-0.2168400475878216,0.06854841120279109,-0.2853884587906127
CD4 T Cells|CD8 T Cells|LCK|CD8A_CD8B,CD4 T Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.3380432830895402,-0.4860892779540733,-0.18999728822500708,56,7.62982604459915e-06,0.0010654827664634341,11,0.512264230502195,33,0.4142647872608883,5,0.26946338640043005,7,0.5095072262486634,-0.09799944324130677,0.24004383984823335,-0.3380432830895401
Classical Monocytes|NK Cells|TGFB1|ITGB1,Classical Monocytes,NK Cells,TGFB1,ITGB1,-0.45537600863773353,-0.6564419525440408,-0.25431006473142626,55,9.040110028051569e-06,0.0011922900670330236,11,0.37559121966550235,33,0.17627296123221917,5,0.10293905296295303,6,0.35899680316740334,-0.19931825843328319,0.2560577502044503,-0.45537600863773353
CD4 T Cells|B Cells|LTB|CD40,CD4 T Cells,B Cells,LTB,CD40,-0.2946314575296751,-0.4258495342505202,-0.16341338080883006,56,1.0784290314128557e-05,0.0013474686950390104,11,0.821357199188185,33,0.714843129366944,5,0.6711137134507623,7,0.8592311011591965,-0.1065140698212409,0.18811738770843422,-0.2946314575296751
NK Cells|CD8 T Cells|HLA-B|CD8B,NK Cells,CD8 T Cells,HLA-B,CD8B,-0.005136585208466604,-0.007445353524608963,-0.0028278168923242452,56,1.2973019637438496e-05,0.0014665689818704282,11,0.9991237185388613,33,0.9975720122394007,5,0.9956257521143128,7,0.9992106310233188,-0.0015517062994605535,0.0035848789090059396,-0.005136585208466493
Non-classical Monocytes|CD8 T Cells|CD48|CD2,Non-classical Monocytes,CD8 T Cells,CD48,CD2,-0.300909007482272,-0.43583452724144933,-0.16598348772309468,56,1.236310614016403e-05,0.0014665689818704282,11,0.6358483682585945,33,0.4919481821395744,5,0.5387818134511673,7,0.6957906348144192,-0.14390018611902006,0.1570088213632519,-0.30090900748227195
CD8 T Cells|pDCs|SELPLG|SELL,CD8 T Cells,pDCs,SELPLG,SELL,0.34256115969397455,0.187774314962873,0.4973480044250761,44,1.4402957286865294e-05,0.0015542100272281003,10,0.2808734297827178,22,0.3893939518094511,5,0.580640018186285,7,0.3465993805190437,0.10852052202673329,-0.23404063766724126,0.34256115969397455
Non-classical Monocytes|CD4 T Cells|SELPLG|ITGB2,Non-classical Monocytes,CD4 T Cells,SELPLG,ITGB2,0.35239905863307797,0.1921995678213572,0.5125985494447988,56,1.6219950357015582e-05,0.0016741809629371735,11,0.06458117538147025,33,0.26262240941177895,5,0.34980451396705325,7,0.19544668936428397,0.1980412340303087,-0.15435782460276928,0.35239905863307797
Classical Monocytes|CD4 T Cells|CD48|CD2,Classical Monocytes,CD4 T Cells,CD48,CD2,-0.32728279198729293,-0.4765803150862499,-0.17798526888833602,56,1.7348622034111103e-05,0.0017160678628741566,11,0.4609287711322198,33,0.30545595021694594,5,0.37881440958825907,7,0.5506243806602781,-0.15547282091527387,0.171809971072019,-0.3272827919872929
Classical Monocytes|Non-classical Monocytes|GNAI2|S1PR4,Classical Monocytes,Non-classical Monocytes,GNAI2,S1PR4,0.43616256395341046,0.23536044435072714,0.6369646835560938,56,2.069656730957601e-05,0.0018968729484813928,11,0.14458899000412465,33,0.3855939583120394,5,0.5287454093096502,7,0.33358781366415446,0.24100496830791476,-0.19515759564549573,0.43616256395341046
CD4 T Cells|Non-classical Monocytes|IL16|CD4,CD4 T Cells,Non-classical Monocytes,IL16,CD4,-0.3312382709101569,-0.484068471761665,-0.17840807005864875,56,2.1573533954927384e-05,0.0018968729484813928,11,0.36212278761457634,33,0.17411664199056903,5,0.23772551682471899,7,0.3809576421108685,-0.1880061456240073,0.14323212528614954,-0.33123827091015684
Non-classical Monocytes|NK Cells|ADAM17|ITGB1,Non-classical Monocytes,NK Cells,ADAM17,ITGB1,0.4285132773633296,0.2309079519790927,0.6261186027475665,56,2.1353901428271234e-05,0.0018968729484813928,11,0.0636002441740746,33,0.29615218736710536,5,0.4536164218716074,7,0.2576550877013085,0.23255194319303074,-0.19596133417029887,0.4285132773633296
CD4 T Cells|Non-classical Monocytes|LGALS1|CD69,CD4 T Cells,Non-classical Monocytes,LGALS1,CD69,0.330376246863342,0.17644210773530222,0.48431038599138176,56,2.593442431298344e-05,0.002198868689965096,11,0.012744402781340914,33,0.20583194762927307,5,0.34409438017882826,7,0.20680567816341844,0.19308754484793214,-0.13728870201540982,0.330376246863342
NK Cells|Non-classical Monocytes|GNAI2|S1PR4,NK Cells,Non-classical Monocytes,GNAI2,S1PR4,-0.34988590586926194,-0.5135982025709216,-0.1861736091676023,56,2.8039034973205908e-05,0.0022953334147031317,11,0.32927298268961086,33,0.11431559719239354,5,0.0,7,0.13492852037204459,-0.21495738549721732,0.13492852037204459,-0.34988590586926194
B Cells|CD4 T Cells|HLA-DRB1|CD4,B Cells,CD4 T Cells,HLA-DRB1,CD4,-0.29915573968606207,-0.44092163589256106,-0.1573898434795631,55,3.5351286680745075e-05,0.002708946879729446,11,0.7037591028603567,32,0.526016415563218,5,0.47021496950225766,7,0.591628021891181,-0.1777426872971387,0.12141305238892336,-0.29915573968606207
Non-classical Monocytes|Non-classical Monocytes|ARF6|SMAP1,Non-classical Monocytes,Non-classical Monocytes,ARF6,SMAP1,-0.356676815400608,-0.5257071472896967,-0.18764648351151939,55,3.537377981112587e-05,0.002708946879729446,11,0.4607876832309827,32,0.2937731503339414,5,0.3568263702241272,7,0.546488652727694,-0.16701453289704127,0.18966228250356676,-0.356676815400608
pDCs|B Cells|GNAI2|S1PR4,pDCs,B Cells,GNAI2,S1PR4,-0.39472466434894643,-0.5823889346167038,-0.20706039408118904,41,3.747811214958542e-05,0.0027392302428963858,10,0.3443358515945907,19,0.25457937681134646,5,0.09759446396900277,7,0.402562653534705,-0.08975647478324422,0.3049681895657022,-0.39472466434894643
CD4 T Cells|Classical Monocytes|PTPN6|CD300LF,CD4 T Cells,Classical Monocytes,PTPN6,CD300LF,0.2843853997143163,0.1490599461131427,0.41971085331548996,51,3.807691576056476e-05,0.0027392302428963858,11,0.01669047692069497,28,0.14756075859989656,5,0.16022437508716053,7,0.006709257052045836,0.1308702816792016,-0.1535151180351147,0.2843853997143163
CD4 T Cells|Classical Monocytes|IL16|CD4,CD4 T Cells,Classical Monocytes,IL16,CD4,-0.27998058769401746,-0.41598896322468804,-0.14397221216334685,56,5.4674029982968337e-05,0.003817533740575495,11,0.33642255328679965,33,0.09101636309268253,5,0.23014903835104192,7,0.2647234358509423,-0.24540619019411714,0.034574397499900406,-0.27998058769401757
Non-classical Monocytes|Non-classical Monocytes|LGALS9|CD44,Non-classical Monocytes,Non-classical Monocytes,LGALS9,CD44,-0.22046738571078917,-0.32778968228138766,-0.11314508914019065,56,5.666953001394427e-05,0.0038438132643743915,11,0.6657383484096715,33,0.5607458556350101,5,0.5112340833242648,7,0.6267089762603926,-0.10499249277466138,0.11547489293612778,-0.22046738571078917
pDCs|CD4 T Cells|HLA-DRB1|CD4,pDCs,CD4 T Cells,HLA-DRB1,CD4,-0.32786309363263666,-0.4886624974510062,-0.16706368981426714,43,6.434492382660078e-05,0.004243190254565285,10,0.5955323641257808,21,0.42872009925876237,5,0.28094027993418147,7,0.4419911086997997,-0.16681226486701844,0.16105082876561821,-0.32786309363263666
B Cells|Non-classical Monocytes|ARF6|SMAP1,B Cells,Non-classical Monocytes,ARF6,SMAP1,-0.39387746446110933,-0.5874734568360784,-0.20028147208614017,55,6.674178272352779e-05,0.004282297086098783,11,0.3788642490338905,32,0.27007870559252933,5,0.2712790234303308,7,0.556370944450079,-0.10878554344136115,0.2850919210197482,-0.39387746446110933
CD4 T Cells|Classical Monocytes|LTB|TNFRSF1A,CD4 T Cells,Classical Monocytes,LTB,TNFRSF1A,-0.37992217604060674,-0.5669578383991108,-0.1928865136821026,56,6.855680492264193e-05,0.004282996181219788,11,0.6133462581676983,33,0.5584155455710613,5,0.44843617404469827,7,0.773427637488668,-0.054930712596636955,0.3249914634439698,-0.37992217604060674
Classical Monocytes|Non-classical Monocytes|PTPN6|CD300LF,Classical Monocytes,Non-classical Monocytes,PTPN6,CD300LF,-0.3269357593764334,-0.4882514471853284,-0.16562007156753833,56,7.120421972284e-05,0.004334328656974928,11,0.3715941204378029,33,0.25250931606097504,5,0.05778469824558843,7,0.26563565324519395,-0.11908480437682784,0.20785095499960551,-0.3269357593764334
NK Cells|Non-classical Monocytes|HLA-B|LILRA1,NK Cells,Non-classical Monocytes,HLA-B,LILRA1,-0.19396193293195096,-0.29026106681586067,-0.09766279904804125,56,7.891136916519528e-05,0.004373280465887957,11,0.8812892439341087,33,0.7795640925915426,5,0.7398781135462698,7,0.8321148951356546,-0.1017251513425661,0.09223678158938486,-0.19396193293195096
B Cells|pDCs|HLA-A|LILRB1,B Cells,pDCs,HLA-A,LILRB1,-0.44991350655288465,-0.673145594887391,-0.22668141821837826,43,7.808171665244942e-05,0.004373280465887957,10,0.6269236233332184,21,0.5254417783494538,5,0.31387258226907744,7,0.6623042438381975,-0.10148184498376456,0.3484316615691201,-0.44991350655288465
Classical Monocytes|Non-classical Monocytes|HLA-B|LILRA1,Classical Monocytes,Non-classical Monocytes,HLA-B,LILRA1,-0.2848620508009543,-0.42632441863926585,-0.1433996829626427,56,7.921274643352239e-05,0.004373280465887957,11,0.7868886660889172,33,0.6587356889215336,5,0.5905693032840941,7,0.7472783769176647,-0.1281529771673836,0.15670907363357067,-0.2848620508009543
pDCs|Non-classical Monocytes|CIRBP|TREM1,pDCs,Non-classical Monocytes,CIRBP,TREM1,-0.30630583688443713,-0.457757476068112,-0.15485419770076223,44,7.371626523902182e-05,0.004373280465887957,10,0.4990150318592816,22,0.4123361027852468,5,0.3647638036588572,7,0.5843907114692596,-0.0866789290740348,0.2196269078104024,-0.3063058368844372
B Cells|Classical Monocytes|LTB|TNFRSF1A,B Cells,Classical Monocytes,LTB,TNFRSF1A,-0.42150427153734704,-0.6312039836271286,-0.21180455944756546,56,8.161724285702732e-05,0.004403621239604156,11,0.5711562597046275,33,0.48566824330733027,5,0.40642061106478267,7,0.7424368662048325,-0.0854880163972972,0.33601625514004985,-0.42150427153734704
CD4 T Cells|Non-classical Monocytes|PKM|CD44,CD4 T Cells,Non-classical Monocytes,PKM,CD44,-0.2743334134355841,-0.41185564797889085,-0.1368111788922773,56,9.237485713940488e-05,0.004873286907754382,11,0.6027205770949942,33,0.3906403555008435,5,0.47383707224956445,7,0.5360902640909978,-0.2120802215941507,0.06225319184143335,-0.27433341343558404
pDCs|CD4 T Cells|GNAI2|S1PR4,pDCs,CD4 T Cells,GNAI2,S1PR4,-0.3686188606852835,-0.5538154645117745,-0.18342225685879246,44,9.573688917823972e-05,0.0049408559762856765,10,0.371625610202018,22,0.24242645800529308,5,0.14534306725454893,7,0.3847627757431075,-0.12919915219672493,0.2394197084885586,-0.3686188606852835
Non-classical Monocytes|B Cells|GNAI2|S1PR4,Non-classical Monocytes,B Cells,GNAI2,S1PR4,0.40599497921482186,0.20148882552660677,0.610501132903037,52,9.982772136809173e-05,0.005042361926124463,11,0.21411404258459352,29,0.31253360293041377,5,0.553408619577539,7,0.24583320070853734,0.09841956034582025,-0.30757541886900164,0.40599497921482186
B Cells|Non-classical Monocytes|HLA-B|LILRA1,B Cells,Non-classical Monocytes,HLA-B,LILRA1,-0.2773229461842376,-0.41757066922485586,-0.13707522314361928,56,0.0001063656782189302,0.005260669168577922,11,0.8133262063233311,33,0.6918363874119964,5,0.6219801603773616,7,0.7778132876502645,-0.1214898189113347,0.15583312727290288,-0.2773229461842376
Classical Monocytes|Non-classical Monocytes|LGALS9|CD44,Classical Monocytes,Non-classical Monocytes,LGALS9,CD44,-0.281542182394484,-0.424397102033939,-0.138687262755029,56,0.0001121187056441546,0.005432036881616796,11,0.474375310774505,33,0.40595030418472117,5,0.24099600599363563,7,0.45411318179833576,-0.06842500658978384,0.21311717580470013,-0.281542182394484
Non-classical Monocytes|CD8 T Cells|GNAI2|S1PR4,Non-classical Monocytes,CD8 T Cells,GNAI2,S1PR4,0.371727354799547,0.18191027726267214,0.5615444323364218,55,0.00012389613596101826,0.005523513661527101,11,0.22620660415255955,32,0.35153263729107614,5,0.4781021422681169,7,0.2317008206070865,0.1253260331385166,-0.24640132166103043,0.371727354799547
