sample,cell_type,n_cells,Groups
GSM4029950_JB19013,Plasma Cells,4,aSLE
GSM4029950_JB19013,pDCs,11,aSLE
GSM4029951_JB19014,B Cells,22,aSLE
GSM4029951_JB19014,CD4 T Cells,1657,aSLE
GSM4029951_JB19014,CD8 T Cells,420,aSLE
GSM4029951_JB19014,Classical Monocytes,910,aSLE
GSM4029951_JB19014,NK Cells,64,aSLE
GSM4029951_JB19014,Non-classical Monocytes,268,aSLE
GSM4029951_JB19014,Plasma Cells,3,aSLE
GSM4029951_JB19014,pDCs,17,aSLE
GSM4029952_JB19015,B Cells,132,aSLE
GSM4029952_JB19015,CD4 T Cells,1119,aSLE
GSM4029952_JB19015,CD8 T Cells,229,aSLE
GSM4029952_JB19015,Classical Monocytes,787,aSLE
GSM4029952_JB19015,NK Cells,792,aSLE
GSM4029952_JB19015,Non-classical Monocytes,318,aSLE
GSM4029952_JB19015,Plasma Cells,1,aSLE
GSM4029952_JB19015,pDCs,16,aSLE
